pc4,INWONER,GEM_HH_GR,AV5_HORECA,OAD,median_inc,cluster,level_zip
1944,7205.0,2.1,174.70000000000002,3197.0,35000.0,3,438
1945,6970.0,2.0,167.5,3518.0,29000.0,2,439
1946,4510.0,2.1,166.3,3139.0,29900.0,2,440
1947,3590.0,2.2,169.5,3142.0,29700.0,3,441
1948,6075.0,3.0,163.0,1533.0,42700.0,1,442
1949,2155.0,1.9,90.5,453.0,35600.0,3,443
1951,5320.0,2.2,196.4,1008.0,47200.0,2,444
1961,1055.0,1.6,186.3,2834.0,28300.0,1,445
1962,7390.0,2.1,163.0,2352.0,51100.0,3,446
1963,5565.0,2.3,109.80000000000001,1589.0,43600.0,3,447
1964,7100.0,2.1,181.7,2499.0,46900.0,2,448
1965,6115.0,2.5,170.3,3071.0,34300.0,1,449
1966,5110.0,2.0,170.5,3017.0,29500.0,1,450
1967,5325.0,2.8,164.70000000000002,1482.0,31100.0,2,451
1968,350.0,2.4,153.8,323.0,28900.0,3,452
1969,1150.0,2.4,174.60000000000002,1117.0,25800.0,2,453
1971,8810.0,2.1,155.6,2259.0,29800.0,1,454
1972,8135.0,2.0,130.2,2886.0,46800.0,1,455
1973,5760.0,2.0,118.4,2825.0,53600.0,3,456
1974,6025.0,2.0,102.9,1684.0,47000.0,1,457
1975,2815.0,1.8,110.4,1942.0,50400.0,3,458
1976,330.0,1.7,97.69999999999999,1093.0,31900.0,3,459
1981,2040.0,2.3,136.2,677.0,41200.0,1,460
1985,3015.0,2.3,143.3,840.0,36200.0,1,461
1991,13370.0,2.5,109.2,1952.0,41400.0,1,462
1992,2115.0,2.6,89.3,1365.0,41000.0,3,463
2011,13790.0,1.6,555.2,5460.0,38115.6746031746,3,464
2012,12975.0,2.1,539.1,3842.0,30600.0,3,465
2013,8305.0,2.0,549.7,4548.0,38400.0,1,466
2014,8225.0,2.3,529.3000000000001,2689.0,46700.0,2,467
2015,5670.0,2.1,513.3,2052.0,41700.0,3,468
2019,170.0,2.0,556.2,5534.0,33300.0,2,469
2021,9130.0,1.9,536.4,3845.0,36100.0,1,470
2022,9060.0,2.3,515.7,3403.0,41700.0,2,471
2023,13155.0,2.4,520.4,3741.0,29100.0,3,472
2024,8985.0,2.2,513.5,3137.0,28500.0,2,473
2025,10070.0,2.1,445.20000000000005,2651.0,27400.0,3,474
2026,5655.0,2.3,365.20000000000005,2338.0,28500.0,3,475
2031,1705.0,2.2,531.9,2242.0,32400.0,1,476
2032,7970.0,1.9,535.7,4041.0,25800.0,1,477
2033,12090.0,2.0,506.9,3026.0,30100.0,3,478
2034,10205.0,1.9,493.5,3416.0,34500.0,3,479
2035,7115.0,2.4,488.9,2920.0,60700.0,3,480
2036,7650.0,2.0,429.9,2946.0,44600.0,1,481
2037,8715.0,2.2,432.1,3301.0,39600.0,3,482
2041,7710.0,2.0,127.6,1796.0,46500.0,3,483
2042,8290.0,1.9,128.1,2000.0,46700.0,2,484
2051,4530.0,2.6,504.1,1671.0,44400.0,2,485
2061,6595.0,2.2,418.7,1271.0,49400.0,1,486
2063,630.0,2.1,133.5,426.0,37000.0,3,487
2064,3270.0,2.5,93.2,413.0,56700.0,1,488
2065,340.0,2.3,397.7,114.0,45600.0,2,489
2071,7210.0,2.2,168.5,1632.0,42900.0,2,490
2082,3310.0,2.3,227.4,1303.0,41100.0,2,491
2101,7645.0,2.0,476.9,2353.0,58500.0,3,492
2102,5250.0,2.4,484.79999999999995,2119.0,73900.0,2,493
2103,3600.0,2.4,349.7,1429.0,38700.0,3,494
2104,3725.0,2.2,92.19999999999999,728.0,51300.0,1,495
2105,3915.0,2.0,322.9,1307.0,44300.0,2,496
2106,3145.0,2.5,479.9,1802.0,40500.0,2,497
2111,4780.0,2.6,421.7,868.0,33100.0,3,498
2114,2170.0,2.2,60.0,426.0,40100.0,2,499
2116,1010.0,2.1,214.1,313.0,44800.0,1,500
2121,5335.0,2.3,98.6,803.0,45200.0,2,501
2131,10770.0,2.3,108.6,2138.0,48300.0,3,502
2132,12800.0,2.0,106.1,1909.0,47700.0,2,503
2133,7810.0,2.3,107.6,2290.0,44900.0,1,504
2134,28265.0,2.5,81.60000000000001,1768.0,38115.6746031746,3,505
2135,15950.0,2.5,111.19999999999999,2067.0,48800.0,2,506
2136,1835.0,2.4,61.8,495.0,45300.0,2,507
2141,4775.0,2.4,70.70000000000002,630.0,46800.0,1,508
2142,1040.0,2.2,108.89999999999999,461.0,33900.0,3,509
2143,140.0,1.7,35.3,67.0,42100.0,3,510
2144,975.0,2.4,75.3,1092.0,38115.6746031746,1,511
2151,15835.0,2.5,56.0,1731.0,41200.0,2,512
2152,12505.0,2.6,52.6,1511.0,41100.0,2,513
2153,3215.0,2.2,30.0,1012.0,40600.0,1,514
2154,335.0,2.3,32.4,53.0,49300.0,1,515
2155,45.0,2.3,25.400000000000002,285.0,36100.0,1,516
2156,365.0,2.3,29.1,411.0,41000.0,2,517
2157,1190.0,2.4,30.299999999999997,108.0,41300.0,3,518
2158,455.0,2.1,17.6,140.0,45900.0,1,519
2159,490.0,2.2,11.1,140.0,39600.0,3,520
2161,12265.0,2.1,93.6,1739.0,39500.0,3,521
2162,7630.0,2.4,73.69999999999999,1408.0,36100.0,3,522
2163,2905.0,2.2,88.7,1569.0,39600.0,3,523
2165,3450.0,2.5,58.7,1186.0,40900.0,1,524
2171,10135.0,2.2,78.8,1636.0,40000.0,2,525
2172,5630.0,2.3,71.9,1692.0,36500.0,2,526
2181,9445.0,2.2,78.1,1701.0,36800.0,3,527
2182,12520.0,2.2,84.30000000000001,1424.0,44400.0,3,528
2191,2175.0,2.4,57.8,291.0,38400.0,1,529
2201,13655.0,2.2,166.4,1731.0,38115.6746031746,3,530
2202,7875.0,2.0,123.6,1551.0,48900.0,2,531
2203,3910.0,2.2,165.79999999999998,1786.0,38115.6746031746,1,532
2204,735.0,2.2,85.1,258.0,36800.0,3,533
