pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
1011.0,0.3662402138628986,0.4695957583705617,0.5304042416294384,0.16451000561379694,0.12204930439620829,0.4114406479944393,0.5862601177193243,0.263064753796392,0.5808211312087281,0.894752646197733,0.9706936230955228,0.6043632585923296,0.5555555555555556,0.5,0.25,0.16666666666666663,0.2,0.5532163742690059,0.2537517053206003,0.5710383564362826
1012.0,0.3185029597097575,0.596621089983802,0.40337891001619813,0.08603275747559486,0.16577773296720333,0.6992419454431533,0.35742894692140587,0.12252996422422091,1.0,0.9260190676375651,0.9821714685233199,0.7310189593974548,0.4444444444444444,0.6666666666666666,0.25,0.12499999999999993,0.10993377483443709,0.6222222222222222,0.1937244201909959,0.5329656492466802
1013.0,0.8117242696200114,0.38413076369412613,0.615869236305874,0.2861842088665013,0.07493290244888486,0.45263182586355016,0.5662739322533139,0.2143461834731223,0.1815963250071777,0.5578034682080925,0.8678591196434297,0.5509479698727383,0.4444444444444444,0.3333333333333333,0.25,0.24999999999999994,0.6569536423841059,0.5929824561403509,0.22783083219645298,0.5668334804470705
1014.0,0.06358602253198396,0.538300139087687,0.46169986091231313,0.45111296197958195,0.03524595798413056,0.683987110944201,0.37087704935691673,0.05745449128694321,0.037324145851277635,0.16732978004654306,0.6333789728202289,0.24993507055666175,0.5555555555555556,0.3333333333333333,0.125,0.33333333333333326,0.03708609271523179,0.33801169590643276,0.3983628922237381,0.7213240385496739
1015.0,0.5654000381898033,0.43331068846418375,0.5666893115358164,0.18512564207398818,0.10746669768158659,0.4390954777610386,0.5718074157513368,0.24727729098373924,0.5126327878265863,0.8523759477516704,0.9754712034258747,0.9518656393385854,0.5555555555555556,0.5,0.125,0.16666666666666663,0.32450331125827814,0.5637426900584795,0.26330150068212826,0.5710383564362826
1016.0,0.41378651899942714,0.4646242751965499,0.5353757248034506,0.1457122659264683,0.10129934713094885,0.49207593116714055,0.525186075587503,0.24975124793481948,0.7062876830318691,0.9989114931311465,0.9987764733300318,0.9791360055406458,0.5555555555555556,0.5,0.125,0.16666666666666663,0.19205298013245034,0.5345029239766083,0.29467939972714874,0.5860732514462845
1017.0,0.4796639297307619,0.49574820347994397,0.5042517965200559,0.1965140189340303,0.14307380104053288,0.5138873353632286,0.4644076568002285,0.20156891280899603,0.4763135228251507,1.0,1.0,0.8094537269500476,0.5555555555555556,0.5,0.125,0.20833333333333334,0.14304635761589404,0.4538011695906433,0.3656207366984993,0.6315220212590862
1018.0,0.7958755012411686,0.4386760593890729,0.5613239406109272,0.23109567943512443,0.1403233936685262,0.4213163800302624,0.5595160223694994,0.21883178098285253,0.12230835486649436,0.6642894677576758,0.9073032889562153,0.5960522898450351,0.5555555555555556,0.3333333333333333,0.25,0.20833333333333334,0.614569536423841,0.5532163742690059,0.25784447476125516,0.5724297942038161
1019.0,0.7191139965629177,0.40762260310163856,0.592377396898362,0.37187652943824295,0.1050129416213159,0.3648114361069579,0.7199556267718478,0.13581728516475577,0.029859316681022107,0.1677801966819308,0.6611996387683168,0.3713964158947277,0.5555555555555556,0.3333333333333333,0.25,0.375,0.40397350993377484,0.3368421052631579,0.41609822646657574,0.7250731215773476
1021.0,0.2684743173572656,0.44445070597699965,0.5555492940230002,0.3699147375797683,0.12323764858631245,0.4353799161277526,0.5143290716242083,0.17598631423290834,0.03962101636520241,0.03783499737256963,0.231159145861858,0.24058523071595533,0.3333333333333333,0.3333333333333333,0.625,0.2916666666666667,0.33245033112582784,0.7134502923976608,0.0927694406548431,0.5156454650531923
1022.0,0.11628795111705174,0.4158472213693585,0.5841527786306419,0.6320922002813525,0.07011068666975083,0.49880015284677104,0.40480000000000005,0.09247077812899321,0.013924777490668961,0.032017115832144734,0.17129373379555454,0.20820708163795343,0.4444444444444444,0.3333333333333333,0.375,0.45833333333333337,0.06225165562913907,0.43391812865497076,0.3192360163710778,0.6634855842688725
1023.0,0.17548214626694672,0.278296191337785,0.7217038086622151,0.4331942008178135,0.07773083729729026,0.2194159489726933,0.6344386607544505,0.3216940769903309,0.015934539190353144,0.02860145634712109,0.04663967139569435,0.2198078088477188,0.7777777777777778,0.16666666666666666,0.125,0.375,0.13509933774834437,0.5883040935672516,0.2155525238744884,0.5765740581786606
1024.0,0.5004773725415315,0.3493548331885501,0.65064516681145,0.5739040582010742,0.15837326333712504,0.3613235069726558,0.41309473912312084,0.17231546863082067,0.014642549526270456,0.017791457097815485,0.037404958196172115,0.2232707124924249,0.2222222222222222,0.16666666666666666,0.75,0.45833333333333337,0.42119205298013246,0.591812865497076,0.12551159618008184,0.5765740581786606
1025.0,0.5810578575520337,0.33155093417622494,0.6684490658237752,0.38959299681131476,0.16188528679596878,0.29274652161208375,0.4596442085606173,0.30305402475739096,0.019810508182601206,0.03449440732677728,0.08663734086870394,0.2368626092978963,0.4444444444444444,0.16666666666666666,0.5,0.33333333333333326,0.47152317880794703,0.6105263157894737,0.15416098226466574,0.5553896251316716
1026.0,0.0171854114951308,0.5078466698721477,0.4921533301278525,0.4981172864776261,0.12386302482132233,0.1605709918663682,0.7136412459720733,0.2562954565106694,0.0,0.0008632985511598228,0.010633029393771667,0.007185525062765129,0.8888888888888888,0.16666666666666666,0.0,0.5833333333333334,0.006622516556291391,0.16608187134502925,0.6180081855388814,0.8304251330864086
1027.0,0.016039717395455413,0.5147282775560332,0.4852717224439668,0.3768665659354973,0.11645231643645494,0.20677302254489874,0.5781203007518797,0.36244535611002754,0.0,0.007244200885819384,0.01852768957380488,0.0141113323521773,0.8888888888888888,0.16666666666666666,0.0,0.4999999999999999,0.007947019867549669,0.343859649122807,0.4638472032742156,0.7222647523569077
1028.0,0.019858697727706702,0.4098990857580747,0.5901009142419251,0.4474242287886467,0.1120222235452257,0.10936754911465718,0.7245386192754614,0.3363465171589457,0.0004306632213608957,0.00045041663538773367,0.003787106359425525,0.0022508873690589557,0.8888888888888888,0.16666666666666666,0.0,0.5416666666666666,0.0026490066225165563,0.2,0.5743519781718963,0.8211011394906563
1031.0,0.2411686079816689,0.39790594768758114,0.602094052312419,0.43851323164056744,0.10349034188535404,0.46517084932214603,0.49662889618412237,0.13990848717295365,0.05354579385587137,0.04654305232339915,0.3770501354618813,0.26421954809107434,0.3333333333333333,0.16666666666666666,0.5,0.33333333333333326,0.2662251655629139,0.6654970760233918,0.17871759890859482,0.5220346243543503
1032.0,0.21500859270574757,0.41089621330213194,0.5891037866978681,0.4521501852522183,0.08068796954929863,0.36580133801153303,0.5575102379416141,0.2132282176189274,0.044214757393051966,0.0481945799864875,0.31823346054126495,0.23824777075577871,0.5555555555555556,0.16666666666666666,0.375,0.375,0.22251655629139072,0.6631578947368422,0.12551159618008184,0.5375566105151138
1033.0,0.47298071414932213,0.34032275326394396,0.6596772467360559,0.31324147983237555,0.18357278378269545,0.3474353332625198,0.4927903392657337,0.24985535530152259,0.009761699684180307,0.017416109901659035,0.061409386197453904,0.1753094970132456,0.5555555555555556,0.16666666666666666,0.375,0.2916666666666667,0.433112582781457,0.6292397660818714,0.12414733969986358,0.5390747934264963
1034.0,0.5548978422761123,0.35154640865133924,0.6484535913486605,0.5006070343327007,0.14401717584747323,0.31312618724984864,0.4681055822307308,0.23673897831617205,0.004737295434969853,0.030252984010209445,0.09118186850001457,0.20881308977577698,0.3333333333333333,0.16666666666666666,0.625,0.45833333333333337,0.5231788079470199,0.6105263157894737,0.14733969986357434,0.5654215426295796
1035.0,0.39984724078670997,0.316328520270595,0.6836714797294053,0.48147841260187585,0.13941766483255025,0.25587756169177245,0.5895357169595398,0.2331427994145552,0.006316393913293138,0.018354477892050153,0.038366300579718585,0.17046143191065707,0.5555555555555556,0.16666666666666666,0.375,0.4999999999999999,0.280794701986755,0.45146198830409356,0.29195088676671216,0.6568570499380592
1036.0,0.08459041435936605,0.3887387179482033,0.6112612820517965,0.8477445083407428,0.12214085584299442,0.41680340458690157,0.38200075351778157,0.028019210912557907,0.0011484352569623888,0.022258088732077172,0.07044017828531478,0.2098519608691888,0.4444444444444444,0.16666666666666666,0.5,0.7916666666666666,0.03708609271523179,0.2362573099415205,0.4952251023192361,0.8040279679059803
1037.0,0.0024823372159633377,0.6027653965464305,0.39723460345356965,0.3554693799574745,0.049755940972648384,0.04317238932256126,1.0249731471535986,0.3226391437602682,0.0015790984783232845,0.007657082801591472,0.050077198706557524,0.026837503246472168,0.7777777777777778,0.16666666666666666,0.125,0.4166666666666667,0.0026490066225165563,0.3880701754385965,0.2958162801273306,0.6684981397241601
1041.0,-0.002673286232575902,0.5086832344580989,0.4913167655419011,0.3421165480412822,0.14212658915612172,0.15419851824973682,0.7474314709344618,0.30636103693136696,0.00416307780648866,0.02038135275129495,0.0613802546100737,0.007445242836118085,0.8925925925925926,0.15555555555555556,0.0625,0.5166666666666666,0.0051655629139072835,0.3990643274853801,0.2798544793087767,0.6611336134198763
1042.0,-0.0019094901661256445,0.3931532084740558,0.6068467915259442,0.27835888156170124,0.17090529465032886,0.27561965887818335,0.5476888386980274,0.3159704667777475,0.0,0.008370242474288718,0.11667200745768637,0.00926326724958878,0.6666666666666666,0.24444444444444446,0.125,0.16666666666666663,0.0013245033112582781,0.41910331384015603,0.27812642110050023,0.6715131436586801
1043.0,0.026350964292533894,0.6938227341606665,0.30617726583933363,0.3100830772679411,0.187139607151577,0.3538383811040993,0.47597094554850405,0.2522176438264261,0.01134079816250359,0.05581412806846333,0.2886357677629854,0.16431477794130378,0.1111111111111111,0.8333333333333334,0.375,0.0,0.01456953642384106,0.4392592592592593,0.2773078672123693,0.638965824918542
1044.0,0.01402838775380307,0.4672947855868543,0.5327052144131458,0.39897510149710874,0.136363707820026,0.1635573706973335,0.7267170883607208,0.28553603807550176,0.003627141353239544,0.004527938342967245,0.013037356405550541,0.0035494762358237383,0.9222222222222223,0.06666666666666667,0.004166666666666667,0.5625000000000001,0.0058719646799117,0.33446393762183235,0.3286948613005912,0.7084381805103381
1045.0,0.0,1.1529973902364141,-0.1529973902364139,0.24794453173632722,0.20097927234247978,0.2766636461032477,0.623698155623156,0.25785560139953145,0.0,0.00033781247654080025,0.0020683427039939408,0.003030040689117825,0.4444444444444444,0.6666666666666666,0.125,0.0,0.0026490066225165563,0.4202339181286549,0.27485220554797635,0.6735568444423653
1046.0,0.0,1.4062787841572002,-0.4062787841571999,0.251011798851965,0.2549920597701429,0.27845367994474585,0.614378581785033,0.2118008478915259,0.003158196956646569,0.00536746490503716,0.029160718967576542,0.02415375292182495,0.2222222222222222,0.3333333333333333,0.625,0.08333333333333331,0.0013245033112582781,0.42596491228070177,0.26912232833105953,0.6844130006105694
1047.0,-0.0019094901661256445,1.0685702589294852,-0.06857025892948528,0.2925039421186418,0.17551433537207534,0.20577426932090842,0.7520341166022624,0.24913371829467357,0.00043066322136089583,0.0016890623827040014,0.00908905526262126,0.006319799151588607,0.7777777777777778,0.3333333333333333,0.125,0.24999999999999994,0.0058719646799116985,0.4232358674463937,0.2700318326512051,0.5913975132031193
1051.0,0.5079243841894214,0.3825524924355176,0.6174475075644825,0.2755396602039343,0.09483290580900407,0.5429656013402782,0.5404518018992196,0.12970466290926816,0.11771461383864484,0.6416935665490578,0.8856876511201096,0.7707557787204571,0.4444444444444444,0.3333333333333333,0.375,0.24999999999999994,0.39867549668874175,0.5497076023391813,0.22237380627557982,0.575197609001148
1052.0,0.47030742791674623,0.40377897086524644,0.5962210291347537,0.23216356245700454,0.07069014544967493,0.5608430998287413,0.502982638193547,0.17895695856810495,0.3099339649727247,0.8395766083627356,0.9487575377982347,0.9938533460306467,0.4444444444444444,0.3333333333333333,0.25,0.20833333333333334,0.4052980132450331,0.5695906432748539,0.23055934515688953,0.5524744728012412
