Disco Dolly,1
Mas Y Mas Argentinian Italian Restaurant,1
The Crown Prince,1
Il Centro Amsterdam,1
Burger Broodjesbar,1
Van Gogh Café,1
Bubbles & Wines,1
Sapore Italiano,1
Burger Bar,1
Café Nota Bene,1
Saint Morris Argentinian Restaurant,1
Dim Sum Court,1
De Soepbar,1
The Bulldog Mack,1
San Abram,1
Cafe de Jaren,1
Café De Zwart,1
Hoppe,1
Haring & Zo,1
LoveFood,2
Lucien's Pannekoekkelder,1
Cafe Gollem Raamsteeg,1
Singel,1
Wonder Bar One,1
Van Speijk,1
Toastable,1
San Thomas,1
La Colina,1
Luden,2
Broodje Bert,1
Caffe Esprit,2
INDOGO,1
La Stego,1
Dragon City,1
Chipsy King,1
Busy Lizzy,1
Eethuis Sie-Joe,1
Sham,1
Sugar 'n Bakery,1
Mr Porter,1
Pancakes,3
Hofje van Wijs,1
Lucius,1
Mucho Bello,1
Bird,1
Vascobelo V-bar Scheltema,1
Burger Zaken,1
The eleventh commandment,1
Old Town,1
Le Pain Quotidien - Warmoes,2
De Pilsener Club (Engelse Reet),1
Café Star,1
Breakfast - Guadalupe,1
Dwaze Zaken,1
Cafe the Palace,1
Q Global Kitchen,1
PRIK,1
America BBQ Bar,2
Argentinos San Thomas - WS,1
Café Heffer,1
Stichting de Keuken van 1870,2
Café Diep,1
Quartier Putain,1
Louis,1
Hoi Tin,1
Café van Beeren,1
De Molen GrillHouse,2
Café de Zeevaart,1
Lil' Amsterdam,1
Cafe del Mar,1
Bord'Eau Restaurant Gastronomique,1
Saigon Caphe,1
Royal 98 restaurent,1
IBIS KITCHEN,3
Cannibale Royale Lange Niezel,1
De Drie Graefjes,1
De Burgerfabriek,1
Nacarat,2
Lunchroom Sapp,1
Lunchroom Cafe St. Paul's,1
Sandwichshop Ten Have V.O.F.,1
PRESSROOM Amsterdam,1
NIGHTBAR THE BOTTLE,1
Starbucks,1
Cafe Pleinzicht,1
Freddy's Bar,1
Welcome Vietnamese Restaurant Pho,2
Tapas Bar Català,1
New King,1
IJssalon Tofani,1
​Tales & Spirits,1
Cuddle,1
Chinese Indonesian Restaurant,1
New Season,1
La Bettola,1
Cafe The Tribe,1
Het Karbeel,1
China Si Chuan Restaurant,1
Stones Cafe,1
Caffe Italia,1
The Duchess,1
Café De Dokter,1
Halal Food,1
China Sichuan Restaurant / Zeedijk,1
De Broodzaak,1
Poets Farm,1
Petit-Restaurant De Rozenboom,1
V.O.C. Café in de Schreierstoren,1
Amour bakery,1
De Haven van Texel,1
Café Remember,1
espressamente illy Amsterdam,1
Holland & Barrett,1
Humphrey's,1
Eetcafé 't Lieverdje,1
Orvieto,1
Spuistraat 122 - Italian Restaurant,1
Burgerij,3
Dunkin' Donuts,1
Restaurant de Compagnon,1
La Piccola Trattoria Da Tonino,1
H.Murray's Amsterdam,1
NS International Lounge,1
Smits' Koffiehuis B.V.,2
Miss Moneypenny,2
Café Lange Leo - Heineken Star Serve Bar,1
Lungoccino,2
Cafe Rough,2
CAFE ITALIA 34,1
Toastable UB,2
Café De Zeemeeuw,1
Gandhi Restaurant,1
Bar Italia,1
d'Vijff Vlieghen,1
Café Katoen,1
Getto,2
Urban Grill,1
Savini,2
Akhnaton,1
Croissanterie d'Oude Brug,1
Verona,1
San Tommaso,1
FuLu Mandarijn,1
The Chicken Bar,1
Carne Argentina,1
Latei,1
Maoz,1
Golden Chopsticks,1
Grillroom Donny,1
CAU,1
Excalibur Café,1
Mr. Crab | Seafood Restaurant Amsterdam,1
Ramen-ya,1
Café Zeepost (Schele Greet),1
Coffeeshop Juice Bar The Old Church,1
Eat Mode,1
Taka Japanese Kitchen,2
Blarney Stone,1
Ponte Vecchio,1
Café de Burgh,1
Bar The Tailor,1
Malaysian restaurant Wau,1
Grand Café Restaurant 1e klas,1
Ziggy's Bar,1
Tropico Restaurant & Bar,1
Proeflokaal de Ooievaar,1
A-Fusion Food & Drinks,1
Café Josélito,1
Thaise Snackbar Bird,1
Café-Restaurant Azzurro,1
Fish House Amsterdam - Seafood Restaurant,2
Mexicaans Cafe-Restaurant La Margarita Amsterdam,1
Hongkong kitchen,1
Cafe Batavia 1920,1
Toastable Koningsplein,1
Caf‚ De Schutter,2
Julia's,1
Scossa,1
Restaurant Kamasutra,1
Ellis Gourmet Burger Singel,3
De Laatste Kruimel,1
Indonesisch Restaurant \'Bunga Mawar\',1
Poké Perfect,1
Restaurant The White Room,1
Café De Pool,1
Restaurant Blauw aan de Wal,2
San Thomas Pizza King,1
Burger King,1
Luna's Cafe,2
Traf Café \''t Sluisje\',1
San George Baby Grill,1
Al Argentino,1
La Boca,1
De Silveren Spiegel,1
Ashoka,1
Maenaam Thai,1
Manneken Pis,1
Kantjil & De Tijger,1
Miu,1
Café de Hartjes,2
Fifty,2
Toro Dorado,1
Aneka Rasa,1
Café de Paris,1
Royal98,1
Dabka,1
iBakery,2
Argentinos San Thomas - MG,1
Moti Mahal Restaurant,1
John Dory (Vistronomie),1
Margarida,2
Lunchroom Ton van Joep,2
Shanghai Noodle,1
Club Mystique,1
Le Pain Quotidien - Nieuwezijds,3
Restaurant Vermeer,1
Mr. Sister,2
Eetcafé de Brakke Grond,1
Café The Flying Dutchman,1
San Stefano,2
Coffeeshop Prix D'ami,1
Société Wunderbar,2
TokoMan,1
Pand 10,2
Royal Tandoori Restaurant,2
THE BUTCHER Nine Streets,1
BBROOD,1
Susie's Saloon,1
\'Old Bridge\' Sate en Snacks,1
Scotty&Co,2
Italiaans Restaurant DA Giorgio,2
Hong Kee,2
Mortimer,1
Tibet,1
Geweaght Café,1
London Bridge,1
Yu Family Kitchen,1
Ava Thomas,1
Marco Polo,1
Smaakversterker,2
Los Toros,1
The Happy Pig,1
Café 't Spui -tje,1
Eetcafé 't Pakhuis,1
La Paella,1
Chocolate Company,1
De Palmboom,1
Ivy and Bros,1
Pacifico,1
Crepes & Wafles,1
Sanders,2
Jasmine,2
Ava Cyril,1
Cafe Van Zuylen,1
Black Tiger Bar,1
The Lobby,1
Jacketz,1
Cafe de Zon,1
Restaurant Madre Maria,1
SATCHMO,1
Trinity Cafe,1
Casablanca Variété,1
Nyonya Malaysia Restaurant,1
De Nieuwe Pilserij,1
Players Bar,2
The Dirty Chicken Club,1
Oriental City,1
Ship Chandlers Warehouse / Private Dining Amsterdam,1
Kaagman & Kortekaas,1
Rob Wigboldus Fishmonger,1
Kyoto Sushi CS,1
Vitam Catering,1
Saltzer Fish Bar,2
Lokaal 't Loosje,1
Asiadam Chinees Japans Restaurant,1
Café Old Sailor,1
De Drie Graefjes American Bakery - Vestiging Dam,1
Madam Pancake,1
Tapas L'Amour Restaurant,1
