pc4,labels
2493,1
2495,0
2496,0
2497,0
2498,1
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2531,0
2532,0
2533,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,0
2551,0
2552,0
2553,0
2554,0
2555,0
2561,0
2562,0
2563,0
2564,0
2565,0
2566,1
2571,0
2572,0
2573,0
2574,0
2581,1
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2591,0
2592,0
2593,0
2594,1
2595,0
2596,1
2597,1
2611,0
2612,0
2613,0
2614,0
2616,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2631,0
2632,1
2635,1
2636,1
2641,0
2642,1
2643,1
2645,1
2651,0
2652,1
2661,0
2662,1
2665,0
2671,0
2672,1
2673,1
2675,0
2676,1
2678,0
2681,0
2684,0
2685,0
2691,0
2692,1
2693,1
2694,1
2711,0
2712,0
2713,0
2715,0
2716,0
2717,0
2718,0
2719,0
2721,0
2722,0
2723,0
2724,0
2725,1
2726,0
2727,0
2728,0
2729,0
2731,1
2735,1
2741,0
2742,0
2743,1
2751,1
2752,0
2761,1
2771,0
2801,0
2802,0
2803,0
2804,0
2805,0
2806,0
2807,0
2808,1
2809,0
2811,0
2821,1
2825,1
2831,1
2841,0
2851,1
2855,1
2861,1
2865,1
2871,0
2872,1
2901,1
2902,1
2903,0
2904,0
2905,0
2906,0
2907,0
2908,0
2909,0
2911,1
2912,1
2913,1
2914,1
2921,1
2922,1
2923,0
2924,1
2925,0
2926,1
2931,1
2935,1
2941,1
2951,0
2952,1
2953,1
2954,1
2957,1
2959,1
2961,1
2964,1
2965,1
2967,1
2968,1
2969,1
2971,1
2973,1
2974,1
2975,1
2977,1
2981,1
2982,0
2983,0
2984,1
2985,1
2986,0
2987,0
2988,0
2989,1
2991,0
2992,0
2993,0
2994,1
2995,1
3011,0
3012,0
3013,0
3014,0
3015,0
3016,0
3021,0
3022,0
3023,0
3024,0
3025,0
3026,0
3027,0
3028,0
3029,0
3031,0
3032,0
3033,0
3034,0
3035,0
3036,0
3037,0
3038,0
3039,0
3041,0
3042,0
3043,0
3044,0
3045,1
3046,1
3047,1
3051,0
3052,0
3053,0
3054,0
3055,0
3056,1
3059,1
3061,0
3062,0
3063,0
3064,0
3065,0
3066,0
3067,0
3068,0
3069,0
3071,0
3072,0
3073,0
3074,0
3075,0
3076,0
3077,0
3078,0
3079,0
3081,0
3082,0
3083,0
3084,0
3085,0
3086,0
3087,0
3088,0
3089,0
3111,0
3112,0
3113,0
3114,0
3115,1
3116,0
3117,0
3118,0
3119,0
3121,0
3122,0
3123,0
3124,0
3125,1
3131,0
3132,0
3133,1
3134,0
3135,0
3136,0
3137,0
3138,1
3141,0
3142,0
3143,0
3144,0
3145,0
3146,1
3147,1
3151,0
3155,1
3161,1
3162,1
3165,1
3171,1
3172,0
3176,0
3181,1
3191,0
3192,0
3193,0
3194,0
3195,0
3196,1
3197,1
3198,1
3199,0
3201,0
3202,0
3203,0
3204,0
3205,0
3206,0
3207,0
3208,1
3209,1
3211,1
3212,0
3214,1
3216,1
3218,1
3221,1
3222,0
3223,0
3224,1
3225,0
3227,0
3231,1
3232,0
3233,1
3234,1
3235,1
3237,1
3238,1
3241,1
3243,1
3244,1
3245,1
3247,1
3248,1
3249,1
3251,1
3252,1
3253,1
3255,1
3256,0
3257,1
3258,1
3261,1
3262,0
3263,1
3264,1
3265,1
3267,1
3271,1
3273,1
3274,1
3281,1
3284,1
3286,1
3291,1
3292,0
3293,1
3295,1
3297,1
3299,1
3311,0
3312,0
3313,0
3314,0
3315,0
3316,1
3317,0
3318,0
3319,0
3328,0
3329,1
3331,1
3332,0
3333,0
3334,0
3335,1
3336,1
3341,1
3342,1
3343,1
3344,1
3351,1
3352,0
3353,0
3354,0
3355,1
3356,1
3361,1
3362,0
3363,0
3364,1
3366,1
3370,1
3371,1
3372,1
3373,1
3381,1
3382,1
3401,0
3402,1
3403,1
3404,1
3405,1
3411,1
3412,1
3413,1
3415,1
3417,0
3421,1
3425,1
3431,0
3432,0
3433,1
3434,0
3435,0
3436,0
3437,0
3438,0
3439,0
3441,0
3442,0
3443,1
3444,1
3445,1
3446,1
3447,0
3448,0
3449,1
3451,1
3452,1
3453,1
3454,0
3455,1
3461,1
3464,1
3465,1
3466,1
3467,1
3471,1
3474,1
3481,0
3511,0
3512,0
3513,0
3514,0
3515,0
3521,0
3522,0
3523,0
3524,0
3525,0
3526,0
3527,0
3528,0
3531,0
3532,0
3533,0
3534,1
3541,0
3542,1
3543,1
3544,0
3545,1
3546,0
3551,0
3552,0
3553,0
3554,0
3555,0
3561,0
3562,0
3563,0
3564,0
3565,1
3566,1
3571,0
3572,0
3573,0
3581,0
3582,0
3583,0
3584,0
3585,1
3601,1
3602,1
3603,1
3604,1
3605,0
3606,0
3607,0
3608,1
3611,1
3612,1
3615,1
3621,0
3625,1
3626,1
3628,1
3631,1
3632,1
3633,1
3634,1
3641,0
3642,1
3643,0
3645,1
3646,1
3648,1
3651,0
3652,0
3653,1
3701,1
3702,1
3703,0
3704,0
3705,0
3706,0
3707,1
3708,0
3709,0
3711,0
3712,0
3721,0
3722,1
3723,0
3731,0
3732,1
3734,1
3735,1
3737,1
3738,1
3739,0
3741,0
3742,0
3743,1
3744,1
3749,1
3751,1
3752,1
3754,1
3755,0
3761,1
3762,1
3763,1
3764,0
3765,0
3766,1
3768,1
3769,0
3771,1
3772,0
3773,1
3774,1
3775,1
3776,1
3781,1
3784,1
3785,1
3791,1
3792,1
3794,1
3811,0
3812,0
3813,0
3814,0
3815,0
3816,0
3817,0
3818,0
3819,0
3821,0
3822,0
3823,0
3824,0
3825,0
3826,1
3828,1
3829,1
3831,0
3832,1
3833,0
3834,1
3835,1
3836,1
3841,0
3842,0
3843,0
3844,0
3845,1
3846,1
3847,0
3848,1
3849,1
3851,0
3852,1
3853,0
3861,0
3862,0
3863,1
3864,0
3871,1
3881,1
3882,1
3886,1
3888,1
3891,1
3892,1
3893,1
3894,1
3895,1
3896,0
3897,0
3898,1
3899,0
3901,0
3902,0
3903,1
3904,0
3905,0
3906,1
3907,1
3911,0
3912,1
3921,1
3922,1
3925,1
3927,1
3931,0
3941,0
3945,1
3947,1
3951,1
3953,1
3956,1
3958,1
3959,1
3961,0
3962,0
3971,1
3972,0
3981,1
3984,1
3985,1
3989,1
3991,0
3992,0
3993,1
3994,0
3995,1
3997,1
3998,1
3999,0
4001,0
4002,1
4003,0
4004,1
4005,0
4006,0
4007,1
4011,1
4012,1
4013,1
4014,1
4016,0
4017,1
4021,1
4023,0
4024,1
4031,1
4032,0
4033,1
4041,1
4043,1
4051,1
4053,1
4054,1
4061,1
4062,1
4063,1
4064,1
4101,0
4102,0
4103,1
4104,1
4105,1
4106,1
4107,1
4111,1
4112,1
4115,0
4116,1
4117,1
4119,1
4121,1
4122,1
4124,1
4125,1
4126,1
4128,1
4131,0
4132,1
4133,0
4141,0
4142,0
4143,1
4145,1
4147,1
4151,1
4152,1
4153,1
4155,1
4156,1
4157,1
4158,1
4161,1
4163,1
4171,1
4174,1
4175,1
4176,1
4181,1
4182,1
4184,1
4185,1
4191,0
4194,1
4196,1
4197,1
4201,0
4202,0
4203,0
4204,0
4205,0
4206,0
4207,1
4208,1
4209,1
4211,1
4212,0
4213,1
4214,1
4221,1
4223,1
4225,1
4231,1
4233,1
4235,1
4241,1
4243,1
4245,1
4247,1
4251,1
4254,1
4255,1
4261,1
4264,1
4265,1
4266,1
4267,0
4268,1
4269,1
4271,1
4273,1
4281,1
4283,1
4284,1
4285,1
4286,1
4287,1
4288,1
4301,0
4302,1
4303,1
4305,0
4306,1
4307,1
4308,0
4311,1
4315,0
4316,0
4317,1
4318,0
4321,1
4322,0
4323,1
4325,0
4326,1
4327,1
4328,1
4331,0
4332,1
4333,1
4334,1
4335,0
4336,0
4337,0
4338,0
4339,1
4341,1
4351,1
4352,1
4353,1
4354,1
4356,1
4357,1
4361,1
4363,1
4364,1
4365,1
4371,1
4373,1
4374,1
4381,0
4382,0
4383,0
4384,1
4385,0
4386,1
4387,1
4388,0
4389,1
4401,1
4411,0
4413,1
4414,1
4415,1
4416,1
4417,0
4421,1
4423,1
4424,1
4431,1
4433,1
4434,0
4435,1
4436,0
4437,0
4438,1
4441,1
4443,1
4444,0
4451,1
4453,0
4454,1
4455,1
4456,1
4458,1
4461,0
4462,0
4463,0
4464,1
4465,1
4471,1
4472,1
4474,1
4475,1
4481,1
4482,1
4484,0
4485,0
4486,0
4491,0
4493,0
4494,0
4501,1
4503,0
4504,0
4505,0
4506,0
4507,0
4508,0
4511,1
4513,0
4515,0
4521,0
4522,1
4524,0
4525,0
4527,0
4528,1
4529,0
4531,0
4532,1
4533,1
4535,1
4536,0
4537,0
4538,0
4539,1
4541,0
4542,0
4543,1
4551,0
4553,0
4554,0
4561,0
4562,1
4564,0
4565,0
4566,0
4567,0
4568,0
4569,0
4571,0
4574,0
4575,0
4576,0
4581,1
4583,0
4584,0
4585,0
4586,0
4587,1
4588,1
4589,1
4611,0
4612,1
4613,0
4614,0
4615,0
4616,1
4617,1
4621,0
4622,0
4623,0
4624,0
4625,0
4631,1
4634,1
4635,1
4641,0
4645,0
4651,0
4652,1
4655,1
4661,0
4664,1
4671,1
4675,1
4681,0
4691,1
4693,1
4694,1
4695,0
4696,1
4697,1
4698,1
4701,0
