pc4,labels
2493,0
2495,1
2496,0
2497,0
2498,0
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,0
2518,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2531,1
2532,1
2533,1
2541,1
2542,0
2543,0
2544,0
2545,1
2546,0
2547,0
2548,0
2551,0
2552,0
2553,1
2554,1
2555,0
2561,1
2562,1
2563,1
2564,0
2565,0
2566,0
2571,1
2572,1
2573,1
2574,1
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2591,0
2592,0
2593,0
2594,0
2595,1
2596,0
2597,0
2611,0
2612,0
2613,0
2614,0
2616,1
2622,0
2623,1
2624,0
2625,0
2626,1
2627,1
2628,0
2629,0
2631,0
2632,0
2635,0
2636,0
2641,0
2642,0
2643,0
2645,0
2651,0
2652,0
2661,0
2662,0
2665,0
2671,1
2672,0
2673,0
2675,0
2676,1
2678,0
2681,0
2684,0
2685,1
2691,1
2692,0
2693,0
2694,0
2711,0
2712,0
2713,0
2715,0
2716,1
2717,0
2718,0
2719,0
2721,0
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,0
2729,0
2731,0
2735,1
2741,1
2742,1
2743,0
2751,0
2752,1
2761,0
2771,0
2801,1
2802,1
2803,1
2804,1
2805,0
2806,0
2807,0
2808,0
2809,0
2811,0
2821,0
2825,0
2831,0
2841,0
2851,1
2855,1
2861,0
2865,1
2871,1
2872,0
2901,0
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0
2908,1
2909,0
2911,0
2912,0
2913,1
2914,0
2921,0
2922,0
2923,0
2924,1
2925,1
2926,0
2931,0
2935,1
2941,1
2951,0
2952,1
2953,0
2954,1
2957,0
2959,1
2961,0
2964,0
2965,1
2967,1
2968,1
2969,1
2971,0
2973,0
2974,0
2975,0
2977,0
2981,0
2982,0
2983,0
2984,1
2985,0
2986,1
2987,1
2988,1
2989,0
2991,0
2992,0
2993,0
2994,0
2995,0
3011,0
3012,1
3013,1
3014,1
3015,1
3016,1
3021,1
3022,1
3023,1
3024,1
3025,1
3026,1
3027,1
3028,1
3029,1
3031,1
3032,1
3033,1
3034,1
3035,1
3036,1
3037,1
3038,1
3039,1
3041,0
3042,1
3043,0
3044,1
3045,0
3046,0
3047,1
3051,0
3052,0
3053,0
3054,0
3055,1
3056,0
3059,0
3061,0
3062,0
3063,0
3064,0
3065,1
3066,0
3067,0
3068,0
3069,0
3071,1
3072,1
3073,1
3074,1
3075,1
3076,1
3077,0
3078,0
3079,0
3081,1
3082,1
3083,1
3084,0
3085,0
3086,0
3087,0
3088,0
3089,1
3111,0
3112,1
3113,0
3114,0
3115,1
3116,1
3117,0
3118,0
3119,0
3121,0
3122,0
3123,0
3124,0
3125,0
3131,0
3132,0
3133,1
3134,0
3135,0
3136,0
3137,1
3138,1
3141,1
3142,0
3143,0
3144,1
3145,0
3146,1
3147,0
3151,0
3155,1
3161,0
3162,0
3165,0
3171,0
3172,1
3176,0
3181,0
3191,1
3192,0
3193,0
3194,0
3195,1
3196,1
3197,1
3198,1
3199,1
3201,0
3202,0
3203,0
3204,0
3205,1
3206,0
3207,1
3208,0
3209,1
3211,1
3212,1
3214,1
3216,1
3218,0
3221,1
3222,1
3223,1
3224,0
3225,1
3227,1
3231,1
3232,0
3233,1
3234,0
3235,1
3237,1
3238,0
3241,0
3243,1
3244,1
3245,1
3247,1
3248,1
3249,1
3251,1
3252,1
3253,1
3255,1
3256,1
3257,1
3258,1
3261,0
3262,0
3263,0
3264,0
3265,0
3267,1
3271,1
3273,1
3274,1
3281,1
3284,1
3286,1
3291,1
3292,0
3293,1
3295,1
3297,1
3299,1
3311,0
3312,0
3313,0
3314,0
3315,1
3316,0
3317,0
3318,0
3319,0
3328,0
3329,1
3331,0
3332,1
3333,1
3334,1
3335,1
3336,0
3341,0
3342,0
3343,0
3344,0
3351,0
3352,1
3353,0
3354,0
3355,0
3356,0
3361,0
3362,0
3363,0
3364,1
3366,1
3370,0
3371,0
3372,1
3373,0
3381,0
3382,1
3401,1
3402,0
3403,0
3404,0
3405,0
3411,0
3412,1
3413,0
3415,0
3417,0
3421,0
3425,1
3431,0
3432,0
3433,1
3434,1
3435,1
3436,0
3437,0
3438,1
3439,0
3441,1
3442,0
3443,0
3444,1
3445,0
3446,0
3447,0
3448,0
3449,0
3451,0
3452,0
3453,0
3454,0
3455,1
3461,0
3464,0
3465,0
3466,0
3467,0
3471,0
3474,0
3481,1
3511,1
3512,1
3513,0
3514,0
3515,0
3521,0
3522,0
3523,0
3524,0
3525,0
3526,1
3527,0
3528,0
3531,0
3532,0
3533,0
3534,0
3541,0
3542,1
3543,0
3544,0
3545,0
3546,1
3551,0
3552,0
3553,0
3554,0
3555,0
3561,0
3562,1
3563,0
3564,0
3565,0
3566,0
3571,0
3572,0
3573,0
3581,0
3582,0
3583,0
3584,0
3585,1
3601,0
3602,0
3603,0
3604,0
3605,0
3606,0
3607,0
3608,0
3611,1
3612,0
3615,1
3621,0
3625,1
3626,0
3628,0
3631,1
3632,0
3633,0
3634,1
3641,0
3642,0
3643,0
3645,0
3646,1
3648,0
3651,1
3652,1
3653,1
3701,1
3702,0
3703,0
3704,1
3705,0
3706,0
3707,0
3708,0
3709,1
3711,1
3712,1
3721,0
3722,1
3723,0
3731,1
3732,0
3734,0
3735,1
3737,1
3738,0
3739,1
3741,1
3742,0
3743,1
3744,1
3749,1
3751,0
3752,0
3754,0
3755,0
3761,1
3762,0
3763,1
3764,0
3765,0
3766,0
3768,1
3769,0
3771,0
3772,0
3773,0
3774,0
3775,1
3776,0
3781,0
3784,0
3785,1
3791,1
3792,0
3794,1
3811,0
3812,1
3813,0
3814,0
3815,0
3816,0
3817,0
3818,0
3819,0
3821,0
3822,0
3823,0
3824,0
3825,0
3826,0
3828,0
3829,0
3831,0
3832,0
3833,0
3834,1
3835,1
3836,1
3841,0
3842,1
3843,1
3844,0
3845,0
3846,0
3847,1
3848,0
3849,1
3851,0
3852,1
3853,1
3861,0
3862,0
3863,0
3864,1
3871,0
3881,1
3882,0
3886,0
3888,0
3891,1
3892,0
3893,0
3894,0
3895,1
3896,1
3897,0
3898,1
3899,1
3901,0
3902,0
3903,0
3904,1
3905,0
3906,0
3907,0
3911,0
3912,0
3921,0
3922,0
3925,0
3927,0
3931,0
3941,0
3945,0
3947,0
3951,1
3953,1
3956,1
3958,1
3959,1
3961,0
3962,0
3971,1
3972,0
3981,0
3984,0
3985,0
3989,1
3991,0
3992,1
3993,0
3994,0
3995,0
3997,0
3998,0
3999,1
4001,0
4002,1
4003,1
4004,1
4005,0
4006,0
4007,0
4011,0
4012,0
4013,1
4014,0
4016,1
4017,1
4021,1
4023,1
4024,1
4031,0
4032,0
4033,1
