,pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
113,1191.0,8920.0,4350.0,4565.0,1585.0,1060.0,1625.0,2820.0,1830.0,80.0,10.0,10.0,3675.0,1070.0,1070.0,285.0,1240.0,2.4,490.0,902.0,26.1,40.7,0.8,1.1,2.0,7.0,0.7,1.9,6.6,48.6,1.9,6.6,165.6,447.8,0.7,3.1,12.0,61.6,25200.0
114,1211.0,9720.0,4985.0,4735.0,1290.0,1125.0,3920.0,2230.0,1155.0,60.0,20.0,20.0,5535.0,3080.0,1245.0,340.0,840.0,1.7,835.0,3896.0,50.2,12.8,0.3,24.8,46.9,51.0,0.2,30.3,72.4,80.0,0.5,5.1,18.0,78.6,0.2,61.0,120.7,133.0,55300.0
115,1212.0,3660.0,1770.0,1890.0,575.0,320.0,1125.0,925.0,715.0,60.0,10.0,30.0,1920.0,1015.0,375.0,175.0,340.0,1.9,495.0,2042.0,61.4,7.4,1.5,0.0,46.0,49.0,0.4,2.5,66.0,76.8,1.1,6.8,18.1,78.1,0.6,3.2,117.0,127.8,32300.0
116,1213.0,6765.0,3335.0,3430.0,1285.0,775.0,1105.0,2030.0,1565.0,80.0,20.0,10.0,2660.0,740.0,830.0,120.0,965.0,2.5,225.0,2240.0,19.5,47.8,1.3,3.1,39.5,46.8,0.8,7.3,61.0,76.7,1.1,5.2,17.7,79.9,0.6,12.5,103.3,128.1,41100.0
117,1214.0,7620.0,3690.0,3930.0,1315.0,835.0,1970.0,2130.0,1370.0,70.0,10.0,10.0,3545.0,1440.0,895.0,325.0,875.0,2.1,700.0,3330.0,43.5,19.9,0.4,5.5,44.6,49.4,0.3,16.2,68.0,81.0,1.1,5.0,17.8,81.2,0.4,27.7,115.8,134.9,31500.0
118,1215.0,10110.0,4880.0,5230.0,1930.0,1015.0,2460.0,2930.0,1775.0,80.0,10.0,10.0,4515.0,1685.0,1115.0,370.0,1340.0,2.2,570.0,3025.0,30.1,29.8,0.7,2.0,34.9,49.9,0.5,7.7,57.6,80.9,2.0,5.0,16.4,77.4,0.4,10.3,100.3,133.4,49000.0
119,1216.0,8895.0,4170.0,4725.0,1310.0,925.0,1780.0,2310.0,2570.0,80.0,10.0,10.0,4275.0,1820.0,1170.0,325.0,945.0,2.0,585.0,1932.0,45.6,17.6,1.2,0.3,17.4,49.0,0.7,1.7,34.4,76.2,3.1,5.0,14.7,67.6,0.8,1.5,56.0,126.5,39000.0
120,1217.0,7655.0,3700.0,3955.0,1135.0,980.0,1200.0,2230.0,2110.0,80.0,20.0,10.0,3350.0,1285.0,1035.0,145.0,885.0,2.2,360.0,2048.0,26.9,42.9,1.0,3.8,44.7,54.7,0.8,5.5,65.0,86.2,0.9,5.7,18.0,71.9,0.5,14.3,111.9,141.7,30600.0
121,1218.0,4165.0,1960.0,2205.0,655.0,385.0,680.0,1050.0,1390.0,80.0,10.0,10.0,1845.0,540.0,675.0,145.0,485.0,2.3,220.0,816.0,32.3,23.2,1.9,0.0,13.3,20.8,0.6,1.0,34.6,52.2,2.9,4.0,14.9,48.1,1.8,0.0,48.0,72.9,29300.0
122,1221.0,8940.0,4635.0,4305.0,1545.0,925.0,3255.0,2260.0,955.0,60.0,20.0,20.0,4510.0,2060.0,1040.0,355.0,1020.0,2.0,850.0,3867.0,46.0,14.1,0.3,19.6,46.4,50.7,0.2,18.0,68.6,82.0,1.1,5.9,17.9,76.3,0.3,28.2,117.8,142.9,34700.0
123,1222.0,11035.0,5420.0,5610.0,1945.0,1175.0,3030.0,3120.0,1765.0,70.0,10.0,20.0,5390.0,2445.0,1135.0,505.0,1285.0,2.0,1245.0,2214.0,49.9,15.5,0.7,3.5,43.3,56.6,0.6,4.0,56.4,96.1,1.6,6.2,18.1,69.5,0.5,6.0,98.4,162.8,42600.0
