,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
0,1011,6435.0,51.88630490956072,48.11369509043928,7.911065149948293,11.323681489141675,33.86763185108583,29.317476732161325,1.2,1.2,4.6,17.580144777662877,404.6,2383.8,3332.1000000000013,6995.0,60.0,30.0,20.0,1.5,7.859358841778697,50.2,19.0,10.221941283654663
1,1012,5960.0,55.02079619726678,44.97920380273322,5.291319857312723,13.852556480380498,51.96195005945303,20.39239001189061,0.8,0.8,4.0,8.50178359096314,696.6,2467.100000000001,3371.5,8458.0,50.0,40.0,20.0,1.4,4.98812351543943,56.1,14.6,10.122623082452801
2,1013,12630.0,49.77736114366065,50.22263885633935,11.972820993439552,8.598875351452671,36.45735707591378,28.537956888472355,1.7,1.7,2.9,14.432989690721648,126.5,1486.1,2979.1000000000013,6378.0,50.0,20.0,20.0,1.7,11.64752753691118,53.6,17.1,10.210972252284089
3,1014,890.0,53.581661891117484,46.418338108882516,17.478510028653297,6.303724928366762,51.00286532951289,20.916905444126073,1.7,1.7,0.7,4.297994269340974,26.0,445.8,2174.2,2901.0,60.0,20.0,10.0,1.9,8.30945558739255,31.8,29.6,10.613983371430686
4,1015,9820.0,50.990930466913,49.009069533087,8.599261001007726,10.480349344978164,35.60631508229761,28.75377897211958,1.3,1.3,3.1,16.560295599596913,357.1,2270.9,3348.5,11009.0,60.0,30.0,10.0,1.5,8.263352368155862,51.1,19.7,10.221941283654663
5,1016,7285.0,51.76362803481448,48.23637196518553,7.2835547411818595,10.123683005038936,38.93724232707284,26.93540998625744,1.7,1.7,3.1,16.720109940448925,492.0,2661.3,3428.5,11324.0,60.0,30.0,10.0,1.5,6.68804397617957,48.6,22.0,10.261161996807944
6,1017,8055.0,52.53164556962025,47.46835443037974,8.979430379746836,12.539556962025314,40.30854430379747,24.564873417721518,2.5,2.5,3.3,13.60759493670886,331.8,2664.2,3432.7,9364.0,60.0,30.0,10.0,1.6,4.311708860759493,41.7,27.2,10.3797217315325
7,1018,12500.0,51.123326959847034,48.876673040152966,10.133843212237094,12.380497131931165,34.48852772466539,28.27437858508604,1.7,2.3,4.0,14.722753346080305,85.19999999999997,1769.8,3114.5,6899.0,60.0,20.0,20.0,1.6,11.11376673040153,50.2,19.3,10.22557105170524
8,1019,9590.0,50.35704839989421,49.6429516001058,14.83342147012163,10.338445267054468,30.936012691697513,34.53199365415124,2.2,3.2,3.7,9.360126916975144,20.8,447.0,2269.7000000000007,4304.0,60.0,20.0,20.0,2.0,8.090957165520889,31.7,30.9,10.623763400484325
9,1021,3855.0,51.26582278481012,48.734177215189874,14.767932489451475,11.39240506329114,35.37271448663853,26.511954992967652,5.0,5.0,3.2,11.954992967651195,27.6,100.8,793.5,2793.0,40.0,20.0,50.0,1.8,17.72151898734177,63.9,7.2,10.077440859659568
10,1022,1395.0,50.56,49.44,23.52,8.32,39.36,22.24,5.5,5.5,2.3,6.5600000000000005,9.7,85.3,588.0,2419.0,50.0,20.0,30.0,2.2,7.68,40.0,23.8,10.46310334047155
11,1023,2320.0,47.165775401069524,52.834224598930476,16.880341880341877,8.76068376068376,21.794871794871796,31.196581196581203,5.9,6.1,1.8,21.367521367521366,11.1,76.2,160.1,2553.0,80.0,10.0,10.0,2.0,11.016042780748663,53.2,16.2,10.236381967809457
12,1024,5885.0,48.919226393629124,51.080773606370876,21.577550246492226,13.42434584755404,30.716723549488055,22.563519150549872,6.5,7.0,1.5,11.717861205915815,10.2,47.40000000000001,128.4,2593.0,30.0,10.0,60.0,2.2,12.097080015168753,53.5,9.6,10.236381967809457
13,1025,7850.0,48.47989539065054,51.52010460934946,15.42483660130719,13.627450980392156,26.40522875816993,24.37908496732026,5.6,5.6,1.6,20.163398692810446,13.8,91.9,297.4,2750.0,50.0,10.0,40.0,1.9,11.670480549199084,55.1,11.7,10.181119289134408
14,1026,205.0,52.83018867924528,47.16981132075472,19.047619047619047,11.428571428571427,18.095238095238088,34.28571428571429,6.5,8.1,2.8,17.142857142857146,0.0,2.3,36.5,97.0,90.0,10.0,0.0,2.5,5.660377358490567,17.1,45.7,10.898589464834574
15,1027,215.0,53.0,47.0,15.0,11.0,21.0,28.999999999999996,8.6,8.6,2.6,24.0,0.0,19.3,63.6,177.0,90.0,10.0,0.0,2.3,7.000000000000001,32.3,34.4,10.616437360392252
16,1028,245.0,50.413223140495866,49.58677685950413,17.355371900826448,10.743801652892563,14.87603305785124,34.71074380165289,8.4,9.9,4.2,22.31404958677686,0.3,1.2,13.0,40.0,90.0,10.0,0.0,2.4,2.5,20.0,42.5,10.874266469694351
17,1031,3320.0,50.11727912431587,49.88272087568413,17.05790297339593,10.250391236306728,37.245696400625974,25.821596244131456,4.3,4.3,3.5,9.624413145539906,37.3,124.0,1294.3,3066.0,40.0,10.0,40.0,1.9,15.793588741204065,59.8,13.5,10.094107912144779
18,1032,2900.0,50.43782837127846,49.56217162872154,17.513134851138354,8.93169877408056,30.998248686514884,28.19614711033275,4.6,4.6,2.6,14.36077057793345,30.8,128.39999999999998,1092.4,2766.0,60.0,10.0,30.0,2.0,14.798598949211907,59.6,9.6,10.134599273499514
19,1033,6850.0,48.69634977938227,51.303650220617726,12.876052948255115,14.881668672282391,29.843561973525873,25.67188126754914,6.1,6.1,1.9,16.726835138387486,6.8000000000000025,46.4,210.8,2039.0,60.0,10.0,30.0,1.8,13.156839149618932,56.7,9.5,10.138559674715614
