pc4,INWONER,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AV5_CAFE,AV5_CAFTAR,AV5_HOTEL,AV5_RESTAU,median_inc
1011,9670.0,765.0,1095.0,3275.0,2835.0,1700.0,60.0,30.0,20.0,1.5,760.0,6995.0,50.2,19.0,732.7,861.0,349.1,1738.4,27500.0
1012,8420.0,445.0,1165.0,4370.0,1715.0,715.0,50.0,40.0,20.0,1.4,420.0,8458.0,56.1,14.6,737.9,874.3,354.5,1759.3,24900.0
1013,21335.0,2555.0,1835.0,7780.0,6090.0,3080.0,50.0,20.0,20.0,1.7,2485.0,6378.0,53.6,17.1,677.7,772.2,338.0,1529.2,27200.0
1014,1745.0,305.0,110.0,890.0,365.0,75.0,60.0,20.0,10.0,1.9,145.0,2901.0,31.8,29.6,504.1,583.5,245.4,1086.6,40700.0
1015,14885.0,1280.0,1560.0,5300.0,4280.0,2465.0,60.0,30.0,10.0,1.5,1230.0,11009.0,51.1,19.7,737.3,870.3,359.8,1740.9,27500.0
1016,10915.0,795.0,1105.0,4250.0,2940.0,1825.0,60.0,30.0,10.0,1.5,730.0,11324.0,48.6,22.0,743.3,900.7,366.4,1784.5,28600.0
1017,12640.0,1135.0,1585.0,5095.0,3105.0,1720.0,60.0,30.0,10.0,1.6,545.0,9364.0,41.7,27.2,738.7,903.2,360.0,1790.8,32200.0
1018,20920.0,2120.0,2590.0,7215.0,5915.0,3080.0,60.0,20.0,20.0,1.6,2325.0,6899.0,50.2,19.3,678.9,800.4,340.0,1635.2,27600.0
1019,18910.0,2805.0,1955.0,5850.0,6530.0,1770.0,60.0,20.0,20.0,2.0,1530.0,4304.0,31.7,30.9,518.2,595.1,256.5,1156.4,41100.0
1021,7110.0,1050.0,810.0,2515.0,1885.0,850.0,40.0,20.0,50.0,1.8,1260.0,2793.0,63.9,7.2,189.1,217.1,73.1,387.3,23800.0
1022,3125.0,735.0,260.0,1230.0,695.0,205.0,50.0,20.0,30.0,2.2,240.0,2419.0,40.0,23.8,137.3,170.4,62.5,280.3,35000.0
1023,4675.0,790.0,410.0,1020.0,1460.0,1000.0,80.0,10.0,10.0,2.0,515.0,2553.0,53.2,16.2,27.8,52.3,9.2,80.0,27900.0
1024,13185.0,2845.0,1770.0,4050.0,2975.0,1545.0,30.0,10.0,60.0,2.2,1595.0,2593.0,53.5,9.6,21.4,43.6,5.2,63.4,27900.0
1025,15295.0,2360.0,2085.0,4040.0,3730.0,3085.0,50.0,10.0,40.0,1.9,1785.0,2750.0,55.1,11.7,63.6,88.3,23.1,145.5,26400.0
1026,530.0,100.0,60.0,95.0,180.0,90.0,90.0,10.0,0.0,2.5,30.0,97.0,17.1,45.7,7.5,11.9,2.7,17.1,54100.0
1027,500.0,75.0,55.0,105.0,145.0,120.0,90.0,10.0,0.0,2.3,35.0,177.0,32.3,34.4,8.5,28.0,2.7,27.1,40800.0
1028,600.0,105.0,65.0,90.0,210.0,135.0,90.0,10.0,0.0,2.4,15.0,40.0,20.0,42.5,2.5,3.9,1.5,6.6,52800.0
1031,6395.0,1090.0,655.0,2380.0,1650.0,615.0,40.0,10.0,40.0,1.9,1010.0,3066.0,59.8,13.5,311.1,356.2,134.8,627.0,24200.0
1032,5710.0,1000.0,510.0,1770.0,1610.0,820.0,60.0,10.0,30.0,2.0,845.0,2766.0,59.6,9.6,260.0,296.5,104.7,535.9,25200.0
1033,12465.0,1605.0,1855.0,3720.0,3200.0,2085.0,60.0,10.0,30.0,1.8,1640.0,2039.0,56.7,9.5,36.0,67.6,9.4,107.2,25300.0
1034,14610.0,2795.0,1840.0,4045.0,3610.0,2320.0,40.0,10.0,50.0,2.2,1980.0,2426.0,55.1,11.2,56.4,95.2,13.7,161.4,27100.0
1035,10550.0,1950.0,1300.0,2540.0,3105.0,1650.0,60.0,10.0,30.0,2.3,1065.0,1983.0,41.5,21.8,21.0,45.8,7.0,64.9,34400.0
1036,2295.0,705.0,260.0,785.0,490.0,55.0,50.0,10.0,40.0,3.0,145.0,2438.0,23.1,36.7,39.6,79.7,8.5,122.5,50500.0
1037,145.0,20.0,10.0,15.0,65.0,30.0,80.0,10.0,10.0,2.1,15.0,324.0,,,48.7,56.8,4.8,66.4,
1041,10.0,,,,,,,,,,,100.0,,,54.2,77.2,16.7,79.3,
1042,30.0,,,10.0,10.0,,70.0,,,1.5,10.0,121.0,,,97.7,133.2,22.4,169.6,
1043,770.0,10.0,340.0,405.0,20.0,,20.0,50.0,30.0,1.1,60.0,1912.0,,,223.1,277.8,73.6,489.9,
1044,,,,,,,,,,,,55.0,,,,,,,
1045,80.0,,,25.0,45.0,5.0,50.0,40.0,10.0,1.1,15.0,49.0,,,1.8,3.2,0.1,2.1,
1046,80.0,5.0,35.0,25.0,10.0,,30.0,20.0,50.0,1.3,10.0,293.0,,,15.4,41.1,14.1,43.6,
1047,30.0,,,5.0,15.0,5.0,80.0,20.0,,1.7,,87.0,,,4.7,15.5,4.0,11.0,29000.0
1051,13380.0,1555.0,1305.0,5640.0,3685.0,1200.0,50.0,20.0,30.0,1.7,1510.0,8917.0,49.9,16.7,686.7,785.9,346.1,1567.7,27800.0
1052,12395.0,1260.0,1035.0,5360.0,3230.0,1505.0,50.0,20.0,20.0,1.6,1535.0,11494.0,51.6,17.3,717.6,844.4,358.2,1694.8,26200.0
1053,16375.0,1665.0,1490.0,7485.0,3850.0,1885.0,50.0,20.0,20.0,1.6,1800.0,11565.0,54.9,14.9,719.5,878.1,363.7,1735.2,31500.0
1054,17210.0,1955.0,1700.0,7585.0,4100.0,1875.0,60.0,30.0,10.0,1.6,1235.0,9822.0,44.4,24.5,722.4,890.2,365.0,1756.9,25600.0
1055,20960.0,2820.0,2665.0,9710.0,4040.0,1725.0,40.0,20.0,40.0,1.7,2470.0,6889.0,56.0,9.8,627.9,723.1,315.8,1421.4,27300.0
1056,20245.0,2565.0,2215.0,9455.0,4400.0,1615.0,50.0,20.0,40.0,1.7,3380.0,9926.0,52.6,13.9,675.0,793.0,341.5,1572.8,26100.0
1057,17530.0,2300.0,2165.0,7705.0,3790.0,1570.0,50.0,20.0,30.0,1.7,2125.0,10678.0,55.2,13.6,685.5,822.7,348.7,1630.9,31500.0
1058,15885.0,2165.0,1550.0,7395.0,3250.0,1525.0,60.0,20.0,20.0,1.7,1125.0,8023.0,43.2,22.7,639.5,794.9,331.6,1585.9,28500.0
1059,6520.0,745.0,765.0,3040.0,1430.0,540.0,50.0,20.0,20.0,1.6,700.0,5906.0,49.0,18.9,412.3,556.9,218.7,1189.0,45000.0
1060,10150.0,1725.0,1625.0,2275.0,3455.0,1070.0,40.0,10.0,50.0,2.5,760.0,3141.0,29.4,34.2,26.5,68.0,13.3,99.0,26300.0
1061,15190.0,2845.0,2790.0,5805.0,2705.0,1045.0,20.0,10.0,60.0,2.1,1985.0,5635.0,53.9,11.8,500.8,612.2,256.5,1162.5,26400.0
1062,12740.0,1560.0,2430.0,6105.0,1770.0,875.0,30.0,20.0,40.0,1.6,1200.0,5247.0,53.2,14.3,392.0,524.4,207.3,1062.0,24800.0
1063,12790.0,2555.0,1615.0,4320.0,2920.0,1380.0,20.0,10.0,60.0,2.1,1875.0,3773.0,60.3,8.3,244.5,320.6,81.9,581.2,24900.0
1064,17010.0,3145.0,2215.0,5460.0,4045.0,2135.0,30.0,10.0,60.0,2.1,2410.0,3903.0,59.5,11.0,248.1,331.3,95.2,600.7,25000.0
1065,12140.0,2190.0,1830.0,3840.0,2515.0,1765.0,30.0,20.0,50.0,1.9,1415.0,4166.0,59.5,9.4,279.5,377.6,146.4,750.1,36100.0
1066,18055.0,2665.0,2635.0,4855.0,5310.0,2595.0,50.0,20.0,30.0,2.1,1490.0,2873.0,36.5,25.5,104.1,174.1,53.3,341.1,27900.0
1067,19835.0,4185.0,2590.0,6380.0,4455.0,2220.0,30.0,10.0,60.0,2.3,2430.0,2718.0,52.7,11.5,80.2,144.6,24.6,161.3,25100.0
1068,16295.0,2510.0,2065.0,4800.0,3790.0,3125.0,40.0,10.0,50.0,1.9,2060.0,3697.0,59.2,9.7,107.5,167.1,32.5,282.8,27500.0
1069,26265.0,5260.0,3450.0,8445.0,5810.0,3295.0,30.0,10.0,60.0,2.2,3140.0,3969.0,52.8,12.2,46.3,98.4,21.0,152.6,43900.0
1071,12730.0,1900.0,1235.0,3825.0,3290.0,2480.0,60.0,30.0,10.0,1.8,400.0,7772.0,30.1,40.1,735.6,902.2,360.9,1794.0,26500.0
1072,13745.0,1200.0,1505.0,6640.0,2965.0,1435.0,50.0,30.0,20.0,1.5,1270.0,9985.0,53.3,16.5,732.8,895.2,360.0,1782.4,25600.0
1073,13295.0,1285.0,1390.0,5835.0,3190.0,1595.0,50.0,20.0,20.0,1.6,1615.0,11110.0,55.7,14.9,712.5,865.4,355.9,1747.2,25000.0
1074,8295.0,865.0,940.0,3395.0,1990.0,1100.0,50.0,20.0,30.0,1.6,955.0,10696.0,56.7,14.9,701.6,853.9,352.3,1732.2,34200.0
1075,10500.0,1520.0,1075.0,3840.0,2725.0,1345.0,60.0,30.0,20.0,1.8,735.0,7583.0,41.4,29.4,661.5,808.4,337.8,1634.0,29200.0
1076,11325.0,1470.0,1055.0,4515.0,2690.0,1595.0,60.0,20.0,20.0,1.7,1100.0,5084.0,48.9,21.1,457.1,607.2,249.4,1283.1,53100.0
1077,9880.0,1985.0,980.0,2555.0,2545.0,1810.0,60.0,30.0,10.0,2.1,185.0,5202.0,26.1,48.3,669.5,814.1,339.1,1658.4,30000.0
1078,14845.0,2020.0,1620.0,6040.0,3195.0,1970.0,60.0,20.0,10.0,1.7,1015.0,8505.0,45.5,24.4,677.2,815.6,350.9,1680.3,27000.0
1079,14675.0,1665.0,1555.0,6080.0,3165.0,2205.0,60.0,20.0,20.0,1.6,1375.0,5958.0,52.6,17.2,593.5,731.4,325.0,1520.7,30300.0
1081,5345.0,705.0,470.0,1435.0,1235.0,1500.0,50.0,30.0,20.0,1.7,255.0,2639.0,47.7,24.7,119.1,239.8,82.5,540.6,33100.0
1082,11865.0,1480.0,1150.0,4970.0,2195.0,2070.0,40.0,30.0,30.0,1.7,595.0,4030.0,41.1,21.5,213.8,340.6,149.7,804.1,25200.0
1083,7600.0,755.0,1045.0,2500.0,1390.0,1905.0,50.0,30.0,30.0,1.5,545.0,3126.0,53.0,16.0,201.4,330.1,156.1,790.9,46000.0
1086,4205.0,1110.0,580.0,1180.0,1180.0,155.0,50.0,20.0,30.0,2.6,360.0,1126.0,29.2,38.1,23.8,40.9,3.8,72.0,43600.0
1087,19525.0,5275.0,2305.0,6150.0,4910.0,885.0,50.0,20.0,40.0,2.5,1505.0,1719.0,29.1,35.1,2.1,14.3,1.2,25.3,26400.0
1091,16935.0,1915.0,2070.0,7260.0,3910.0,1785.0,50.0,20.0,30.0,1.7,1950.0,8654.0,53.0,16.2,655.5,808.9,346.1,1651.9,25600.0
1092,9005.0,1285.0,1040.0,3565.0,2155.0,960.0,50.0,20.0,40.0,1.8,1130.0,8015.0,54.9,15.5,607.0,738.8,338.5,1504.4,24700.0
1093,10185.0,1215.0,1205.0,3960.0,2445.0,1355.0,50.0,20.0,40.0,1.7,1395.0,8636.0,56.3,13.9,604.8,721.0,334.0,1486.4,26400.0
1094,12625.0,1645.0,1585.0,5550.0,2660.0,1185.0,40.0,20.0,40.0,1.8,1675.0,8231.0,54.2,12.3,562.0,663.4,320.4,1352.0,22900.0
1095,13695.0,1840.0,2270.0,5150.0,2995.0,1440.0,40.0,20.0,50.0,1.7,1815.0,4701.0,58.7,10.8,441.4,522.7,232.6,1029.2,14900.0
1096,4790.0,295.0,1440.0,2290.0,545.0,220.0,60.0,20.0,20.0,1.4,280.0,2769.0,57.3,19.9,343.2,455.7,192.2,917.3,23400.0
1097,14570.0,1875.0,1780.0,5055.0,3385.0,2475.0,60.0,20.0,30.0,1.7,1660.0,4615.0,58.8,14.8,421.5,535.1,237.8,1064.4,33600.0
1098,15870.0,2495.0,3140.0,4765.0,3695.0,1770.0,60.0,20.0,20.0,1.9,915.0,4820.0,36.7,31.3,381.1,470.8,195.9,926.1,
1101,95.0,,10.0,70.0,10.0,,10.0,50.0,30.0,1.1,,1387.0,,,18.9,77.7,12.8,84.2,21100.0
1102,24170.0,4005.0,4595.0,7595.0,6145.0,1830.0,20.0,10.0,70.0,1.8,3780.0,3209.0,67.1,5.9,19.9,78.0,11.3,87.5,25400.0
1103,14275.0,2285.0,2150.0,4030.0,3935.0,1875.0,20.0,10.0,70.0,1.9,1765.0,3436.0,56.9,11.3,17.7,66.5,9.0,78.4,22800.0
1104,15185.0,2755.0,2280.0,4565.0,3955.0,1630.0,20.0,10.0,70.0,1.9,2160.0,3219.0,64.4,6.3,15.6,60.9,8.1,71.8,10500.0
1105,620.0,15.0,385.0,170.0,40.0,10.0,50.0,10.0,40.0,1.1,45.0,1500.0,87.4,3.5,12.6,51.3,10.0,53.4,27100.0
1106,18095.0,3190.0,2350.0,4675.0,5135.0,2745.0,30.0,10.0,60.0,2.0,2620.0,2417.0,54.2,10.9,12.3,51.0,9.1,54.1,27100.0
1107,11600.0,1755.0,1320.0,3365.0,3390.0,1770.0,30.0,10.0,60.0,1.9,1560.0,2290.0,54.4,9.6,10.9,43.9,9.5,46.8,30600.0
1108,2920.0,350.0,260.0,935.0,780.0,590.0,50.0,20.0,30.0,1.6,210.0,2020.0,46.3,9.1,13.3,59.3,8.7,61.5,40100.0
1109,1605.0,295.0,190.0,360.0,495.0,270.0,80.0,10.0,10.0,2.4,90.0,453.0,33.9,26.6,8.0,15.8,3.0,28.5,31400.0
1111,14340.0,2135.0,2300.0,3865.0,3700.0,2340.0,60.0,20.0,30.0,2.0,1035.0,2401.0,41.4,20.8,44.5,93.5,13.5,145.2,27700.0
1112,11270.0,1740.0,1910.0,3615.0,2435.0,1565.0,50.0,20.0,30.0,1.9,705.0,2988.0,42.1,22.0,59.5,135.6,22.7,198.7,38300.0
1113,3585.0,525.0,455.0,760.0,1160.0,675.0,60.0,10.0,30.0,2.2,235.0,1243.0,37.9,29.2,9.8,28.1,0.2,44.7,
1114,70.0,,10.0,25.0,20.0,10.0,50.0,30.0,10.0,1.7,10.0,1249.0,,,153.2,277.7,90.3,558.3,33100.0
1115,4925.0,755.0,585.0,1295.0,1280.0,1015.0,60.0,20.0,20.0,1.9,370.0,2040.0,41.6,19.9,52.8,137.4,21.2,214.0,
1117,,,,,,,,,,,,83.0,,,,,,,
1118,45.0,,,35.0,5.0,,,70.0,30.0,1.1,,73.0,,,1.1,21.4,12.5,13.1,42800.0
1119,20.0,,,15.0,,,30.0,60.0,,1.1,,394.0,,,8.1,24.1,14.4,32.7,50000.0
1121,10235.0,1790.0,1075.0,2190.0,3005.0,2175.0,80.0,10.0,10.0,2.3,590.0,1132.0,29.3,31.5,12.1,26.6,3.0,36.2,33400.0
1127,825.0,105.0,115.0,130.0,300.0,170.0,90.0,10.0,0.0,2.4,35.0,93.0,26.4,40.4,6.0,10.0,0.0,15.1,54100.0
1131,8955.0,1315.0,685.0,2145.0,1900.0,2910.0,90.0,0.0,0.0,2.1,460.0,1725.0,38.6,17.8,16.0,17.1,7.0,30.0,38900.0
1132,13425.0,2520.0,2180.0,3240.0,4285.0,1200.0,90.0,0.0,0.0,2.9,615.0,1485.0,14.1,43.0,16.0,17.1,7.0,30.0,40800.0
1135,7205.0,1040.0,890.0,1265.0,2120.0,1885.0,80.0,10.0,10.0,2.2,535.0,1238.0,34.2,25.4,16.0,17.0,8.3,30.0,62400.0
1141,9560.0,1420.0,1005.0,1805.0,2840.0,2490.0,90.0,10.0,10.0,2.3,615.0,993.0,30.5,27.0,3.0,11.2,2.9,13.8,46000.0
1145,320.0,70.0,40.0,60.0,85.0,70.0,90.0,10.0,10.0,2.8,5.0,149.0,18.2,50.9,9.5,15.8,5.0,23.6,59000.0
1151,2745.0,560.0,270.0,485.0,860.0,570.0,90.0,10.0,0.0,2.4,100.0,293.0,26.6,36.6,2.0,8.4,1.3,11.3,
1153,315.0,55.0,35.0,50.0,110.0,65.0,90.0,10.0,0.0,2.7,10.0,45.0,16.2,50.5,2.8,9.4,1.6,12.0,40100.0
1154,130.0,25.0,10.0,25.0,40.0,40.0,80.0,20.0,,2.2,5.0,17.0,,,0.0,0.1,0.0,0.3,38400.0
1156,1770.0,225.0,215.0,280.0,600.0,460.0,90.0,0.0,0.0,2.1,95.0,300.0,27.9,26.8,0.0,1.0,1.0,4.0,39500.0
1161,7800.0,1150.0,910.0,1855.0,2285.0,1600.0,80.0,10.0,10.0,2.2,465.0,1068.0,34.0,22.7,6.7,16.8,5.0,12.4,41300.0
1165,2560.0,315.0,360.0,545.0,825.0,515.0,80.0,10.0,10.0,2.1,120.0,806.0,31.7,27.9,9.9,29.8,5.6,25.3,43400.0
1171,12645.0,2095.0,1480.0,2625.0,3815.0,2630.0,80.0,10.0,10.0,2.2,595.0,1686.0,31.2,32.1,15.0,48.3,12.0,71.2,42900.0
1175,825.0,105.0,95.0,145.0,295.0,190.0,90.0,10.0,0.0,2.2,35.0,466.0,28.1,30.5,8.9,30.3,8.8,34.7,37000.0
1181,20495.0,4445.0,1820.0,5630.0,4970.0,3625.0,50.0,20.0,20.0,2.2,765.0,3233.0,30.0,35.7,21.8,105.3,19.6,191.4,23500.0
1182,3840.0,650.0,450.0,785.0,1165.0,785.0,70.0,20.0,10.0,2.2,185.0,1578.0,38.6,32.5,14.9,81.7,13.5,144.6,56000.0
1183,13730.0,1720.0,3225.0,3710.0,2725.0,2350.0,50.0,20.0,30.0,1.7,785.0,2715.0,48.4,18.4,27.1,114.6,25.9,221.6,32000.0
1184,630.0,115.0,95.0,95.0,210.0,120.0,80.0,10.0,10.0,2.6,20.0,567.0,22.3,48.3,12.0,59.7,8.9,100.1,32000.0
1185,11595.0,1810.0,1065.0,3155.0,2910.0,2655.0,50.0,20.0,30.0,2.0,795.0,2846.0,44.9,20.5,10.0,51.5,8.6,99.0,46200.0
1186,14145.0,2060.0,1270.0,3525.0,3505.0,3795.0,50.0,20.0,30.0,2.0,1065.0,2450.0,44.9,19.0,8.1,44.5,5.1,83.1,38400.0
1187,18520.0,3900.0,1970.0,4815.0,5365.0,2470.0,60.0,20.0,20.0,2.4,875.0,1536.0,27.2,36.5,6.4,35.4,5.7,60.2,37900.0
1188,7380.0,1130.0,695.0,1845.0,2230.0,1480.0,60.0,20.0,20.0,2.1,525.0,2037.0,34.1,25.6,6.3,38.1,5.2,72.2,49100.0
1189,500.0,85.0,65.0,70.0,160.0,125.0,80.0,10.0,10.0,2.3,30.0,105.0,38.8,30.6,5.5,3.9,0.2,16.5,28800.0
1191,8920.0,1585.0,1060.0,1625.0,2820.0,1830.0,80.0,10.0,10.0,2.4,490.0,902.0,26.1,40.7,7.0,48.6,6.6,61.6,25200.0
1211,9720.0,1290.0,1125.0,3920.0,2230.0,1155.0,60.0,20.0,20.0,1.7,835.0,3896.0,50.2,12.8,51.0,80.0,5.1,133.0,55300.0
1212,3660.0,575.0,320.0,1125.0,925.0,715.0,60.0,10.0,30.0,1.9,495.0,2042.0,61.4,7.4,49.0,76.8,6.8,127.8,32300.0
1213,6765.0,1285.0,775.0,1105.0,2030.0,1565.0,80.0,20.0,10.0,2.5,225.0,2240.0,19.5,47.8,46.8,76.7,5.2,128.1,41100.0
1214,7620.0,1315.0,835.0,1970.0,2130.0,1370.0,70.0,10.0,10.0,2.1,700.0,3330.0,43.5,19.9,49.4,81.0,5.0,134.9,31500.0
1215,10110.0,1930.0,1015.0,2460.0,2930.0,1775.0,80.0,10.0,10.0,2.2,570.0,3025.0,30.1,29.8,49.9,80.9,5.0,133.4,49000.0
1216,8895.0,1310.0,925.0,1780.0,2310.0,2570.0,80.0,10.0,10.0,2.0,585.0,1932.0,45.6,17.6,49.0,76.2,5.0,126.5,39000.0
1217,7655.0,1135.0,980.0,1200.0,2230.0,2110.0,80.0,20.0,10.0,2.2,360.0,2048.0,26.9,42.9,54.7,86.2,5.7,141.7,30600.0
1218,4165.0,655.0,385.0,680.0,1050.0,1390.0,80.0,10.0,10.0,2.3,220.0,816.0,32.3,23.2,20.8,52.2,4.0,72.9,29300.0
1221,8940.0,1545.0,925.0,3255.0,2260.0,955.0,60.0,20.0,20.0,2.0,850.0,3867.0,46.0,14.1,50.7,82.0,5.9,142.9,34700.0
1222,11035.0,1945.0,1175.0,3030.0,3120.0,1765.0,70.0,10.0,20.0,2.0,1245.0,2214.0,49.9,15.5,56.6,96.1,6.2,162.8,42600.0
1223,11665.0,2310.0,1310.0,3050.0,3255.0,1740.0,70.0,10.0,20.0,2.3,1015.0,2727.0,40.3,21.9,49.2,80.5,6.1,141.5,41700.0
1231,8790.0,1355.0,915.0,1635.0,2825.0,2060.0,80.0,10.0,10.0,2.3,480.0,583.0,30.8,30.5,17.9,37.9,3.9,74.4,37900.0
1241,6740.0,1020.0,745.0,1190.0,2130.0,1650.0,90.0,10.0,0.0,2.3,310.0,885.0,31.9,28.2,11.4,16.2,3.1,41.0,43600.0
1243,1310.0,145.0,115.0,255.0,460.0,340.0,80.0,10.0,0.0,1.9,75.0,547.0,35.2,24.3,31.5,48.0,4.7,89.2,45600.0
1244,1530.0,245.0,160.0,280.0,520.0,320.0,90.0,10.0,0.0,2.4,60.0,207.0,26.2,29.7,4.9,5.6,1.3,14.9,54700.0
1251,10825.0,1640.0,995.0,1590.0,3140.0,3465.0,80.0,10.0,10.0,2.1,510.0,1098.0,29.3,38.2,16.9,32.0,2.7,62.3,45200.0
1252,365.0,85.0,50.0,85.0,110.0,35.0,80.0,20.0,0.0,2.8,30.0,959.0,19.2,46.7,7.6,17.2,2.0,42.7,37600.0
1261,10590.0,1825.0,1010.0,2035.0,2935.0,2785.0,80.0,10.0,10.0,2.3,485.0,1058.0,27.2,35.4,3.8,30.3,3.4,55.6,55400.0
1262,600.0,180.0,40.0,230.0,120.0,35.0,70.0,10.0,20.0,3.0,25.0,1248.0,,,,,,,
1271,7925.0,1275.0,850.0,1610.0,2455.0,1735.0,80.0,10.0,10.0,2.2,535.0,1689.0,34.7,24.8,2.5,29.8,4.6,52.3,34300.0
1272,6275.0,1085.0,715.0,860.0,1900.0,1710.0,80.0,10.0,10.0,2.5,210.0,1092.0,21.9,47.5,8.8,42.9,5.4,73.3,35000.0
1273,8790.0,1265.0,835.0,1825.0,2565.0,2300.0,80.0,10.0,10.0,2.1,715.0,2365.0,37.7,17.7,2.0,27.5,4.0,44.9,35000.0
1274,6625.0,1035.0,750.0,1680.0,2300.0,855.0,80.0,10.0,10.0,2.1,695.0,2284.0,41.8,20.1,2.0,26.1,3.7,42.5,50800.0
1275,2045.0,275.0,245.0,380.0,675.0,470.0,80.0,10.0,10.0,2.1,215.0,2551.0,40.1,18.3,2.0,27.0,4.0,46.7,
1276,7485.0,1190.0,905.0,1540.0,1930.0,1925.0,80.0,10.0,10.0,2.2,555.0,2417.0,39.5,18.1,2.2,28.9,4.0,50.1,39600.0
1277,2130.0,340.0,255.0,320.0,790.0,425.0,80.0,10.0,10.0,2.4,110.0,1571.0,23.3,38.2,2.0,25.9,3.9,43.5,39500.0
1309,35.0,,,,20.0,10.0,90.0,,,2.1,,101.0,,,1.6,5.9,0.4,6.1,39400.0
1311,4605.0,725.0,590.0,1070.0,1495.0,725.0,60.0,10.0,30.0,2.3,355.0,1716.0,31.6,23.4,23.2,75.1,4.0,77.2,28300.0
1312,7085.0,1145.0,960.0,1790.0,2360.0,830.0,60.0,10.0,30.0,2.4,570.0,1745.0,31.4,24.5,24.9,72.3,4.1,78.7,27800.0
1313,4325.0,685.0,535.0,990.0,1530.0,585.0,70.0,10.0,20.0,2.4,455.0,1207.0,30.3,20.5,24.7,63.6,3.0,76.2,43400.0
1314,5960.0,1165.0,665.0,1890.0,1600.0,635.0,50.0,10.0,40.0,2.1,905.0,1987.0,53.1,8.8,25.6,69.4,3.9,77.4,33800.0
1315,4080.0,505.0,490.0,1625.0,890.0,570.0,40.0,10.0,40.0,1.6,605.0,2449.0,53.4,9.3,27.7,74.8,4.9,83.5,40100.0
1316,4160.0,545.0,485.0,975.0,1460.0,695.0,70.0,10.0,20.0,2.3,335.0,1278.0,24.8,27.1,25.3,75.7,3.8,80.8,54300.0
1317,4060.0,675.0,480.0,1085.0,1280.0,535.0,60.0,10.0,20.0,2.2,460.0,1016.0,40.5,14.2,25.0,79.8,3.9,80.4,44300.0
1318,9615.0,1760.0,1475.0,2520.0,3110.0,750.0,50.0,10.0,40.0,2.5,830.0,1702.0,30.3,23.9,24.5,84.5,4.3,82.2,
1319,6855.0,1905.0,660.0,2345.0,1680.0,265.0,60.0,10.0,30.0,2.8,340.0,590.0,16.1,44.6,17.1,38.3,2.1,48.2,36200.0
1321,9845.0,1945.0,1550.0,2405.0,3115.0,830.0,50.0,10.0,40.0,2.7,715.0,1561.0,26.8,30.9,23.9,76.4,4.0,81.7,29300.0
1322,,,,,,,,,,,,750.0,,,,,,,37300.0
1323,6370.0,885.0,800.0,1500.0,2125.0,1065.0,60.0,10.0,30.0,2.2,590.0,2309.0,39.0,19.4,28.2,82.0,4.5,92.3,40400.0
1324,10430.0,1930.0,1370.0,2800.0,2795.0,1535.0,50.0,10.0,40.0,2.2,1370.0,2078.0,49.7,9.6,28.6,78.5,5.0,95.6,41200.0
1325,10490.0,1655.0,1715.0,2510.0,3405.0,1210.0,60.0,10.0,30.0,2.3,995.0,1509.0,34.4,22.4,26.8,76.4,4.7,86.3,
1326,11395.0,1995.0,1815.0,2655.0,3745.0,1190.0,60.0,10.0,30.0,2.5,1005.0,1867.0,31.5,24.5,25.0,80.4,5.0,81.4,
1327,,,,,,,,,,,,1007.0,,,,,,,
1328,9985.0,1990.0,1390.0,2660.0,2925.0,1025.0,50.0,10.0,40.0,2.5,795.0,1686.0,28.4,24.3,23.1,80.0,4.9,76.1,33600.0
1329,,,,,,,,,,,,905.0,,,,,,,26900.0
1331,210.0,30.0,35.0,45.0,75.0,25.0,90.0,10.0,0.0,2.7,5.0,81.0,,,3.0,24.0,0.0,16.1,40000.0
1332,60.0,,10.0,25.0,25.0,,40.0,,60.0,1.8,5.0,233.0,,,4.0,19.7,0.0,12.7,43700.0
1333,12585.0,2240.0,1670.0,3155.0,3945.0,1575.0,60.0,10.0,30.0,2.3,1485.0,1603.0,40.8,16.3,14.3,58.5,1.6,54.3,37900.0
1334,1965.0,280.0,200.0,685.0,395.0,410.0,50.0,10.0,40.0,1.8,260.0,2317.0,57.2,6.6,6.0,37.8,0.0,31.6,40100.0
1335,12245.0,2405.0,1890.0,3375.0,3775.0,800.0,50.0,10.0,30.0,2.5,1095.0,1842.0,31.5,23.5,4.1,31.2,0.0,20.9,43400.0
1336,8560.0,2105.0,960.0,2865.0,2030.0,600.0,60.0,10.0,30.0,2.6,650.0,1149.0,27.2,28.0,2.3,26.5,0.0,17.3,63500.0
1338,9820.0,1615.0,1430.0,2245.0,3335.0,1190.0,60.0,10.0,30.0,2.4,925.0,1798.0,34.3,20.4,12.1,54.0,1.7,47.4,56900.0
1339,11280.0,2275.0,1695.0,3015.0,3590.0,710.0,50.0,10.0,40.0,2.5,1010.0,1862.0,29.2,23.0,3.0,31.5,0.0,20.0,44700.0
1341,1505.0,445.0,100.0,715.0,215.0,30.0,70.0,10.0,20.0,2.7,75.0,183.0,31.2,22.3,0.0,6.8,0.0,3.8,37300.0
1343,1195.0,130.0,130.0,130.0,525.0,280.0,80.0,10.0,10.0,2.4,50.0,165.0,10.3,56.4,0.0,1.0,0.9,0.9,25600.0
