pc4,INWONER,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AV5_CAFE,AV5_CAFTAR,AV5_HOTEL,AV5_RESTAU,median_inc
9624,55.0,5.0,5.0,10.0,20.0,10.0,90.0,,,2.5,,6.0,29.3,24.9,4.1,2.0,0.0,6.9,35200.0
9625,520.0,60.0,60.0,105.0,195.0,100.0,90.0,10.0,0.0,2.1,40.0,32.0,39.7,15.5,4.0,2.0,0.1,4.9,25400.0
9626,1700.0,325.0,200.0,380.0,510.0,280.0,90.0,0.0,0.0,2.4,110.0,176.0,,,2.6,3.3,0.2,5.1,31200.0
9627,545.0,95.0,65.0,95.0,170.0,120.0,90.0,0.0,0.0,2.3,25.0,82.0,27.0,25.3,8.6,14.1,0.8,14.7,31600.0
9628,3235.0,460.0,380.0,600.0,1020.0,770.0,90.0,0.0,0.0,2.2,260.0,333.0,,,6.7,6.2,0.0,4.8,33700.0
9629,190.0,20.0,20.0,25.0,80.0,45.0,90.0,10.0,,2.3,15.0,35.0,,,5.8,5.9,0.2,6.7,38100.0
9631,445.0,55.0,50.0,65.0,185.0,95.0,100.0,0.0,,2.4,20.0,31.0,39.4,15.0,1.8,1.6,1.1,2.0,31400.0
9632,55.0,10.0,,10.0,20.0,15.0,90.0,,,2.0,5.0,14.0,36.9,17.2,4.9,4.3,2.0,4.9,34000.0
9633,110.0,10.0,25.0,15.0,50.0,10.0,90.0,10.0,,2.6,10.0,11.0,57.6,7.8,17.6,21.9,1.0,21.0,33400.0
9635,1880.0,275.0,180.0,390.0,600.0,430.0,90.0,0.0,0.0,2.2,195.0,187.0,42.6,7.7,14.6,20.9,1.1,20.0,29800.0
9636,3595.0,505.0,435.0,705.0,1235.0,715.0,90.0,0.0,0.0,2.2,310.0,305.0,29.7,17.9,10.7,15.8,0.8,14.8,56300.0
9641,5570.0,680.0,585.0,1090.0,1530.0,1680.0,90.0,10.0,10.0,1.9,705.0,1324.0,55.9,7.2,17.6,22.4,1.1,21.1,28100.0
9642,7865.0,1345.0,805.0,1750.0,2110.0,1855.0,90.0,10.0,10.0,2.2,880.0,1138.0,26.4,25.1,16.9,22.0,1.0,21.0,29100.0
9644,1635.0,190.0,245.0,310.0,625.0,265.0,90.0,10.0,0.0,2.4,145.0,96.0,37.7,18.7,11.5,16.7,1.7,16.6,31500.0
9645,4060.0,600.0,480.0,985.0,1235.0,765.0,80.0,10.0,10.0,2.1,700.0,1051.0,47.0,10.2,13.9,20.6,2.7,19.7,
9646,2420.0,385.0,285.0,450.0,805.0,495.0,90.0,0.0,0.0,2.4,145.0,1060.0,35.4,16.9,4.2,5.1,1.0,3.2,25900.0
9648,5500.0,875.0,595.0,1120.0,1895.0,1015.0,90.0,0.0,0.0,2.3,570.0,581.0,30.4,23.4,0.0,0.0,0.7,2.3,32500.0
9649,4665.0,650.0,510.0,970.0,1505.0,1030.0,90.0,0.0,0.0,2.2,605.0,559.0,,,0.0,0.0,0.0,1.4,
9651,1680.0,225.0,175.0,325.0,610.0,340.0,90.0,10.0,0.0,2.2,135.0,140.0,,,0.0,1.0,0.0,4.0,32700.0
9654,390.0,55.0,40.0,75.0,155.0,60.0,90.0,0.0,0.0,2.2,40.0,40.0,,,0.6,0.4,0.0,2.2,34900.0
9655,130.0,20.0,10.0,20.0,60.0,25.0,90.0,0.0,,2.3,5.0,28.0,21.5,32.0,1.0,0.0,1.0,2.8,32600.0
9656,150.0,10.0,25.0,25.0,60.0,30.0,100.0,,,2.4,5.0,34.0,33.0,8.5,2.2,0.7,1.0,1.8,13700.0
9657,105.0,15.0,10.0,25.0,35.0,20.0,100.0,,,2.3,10.0,19.0,34.2,16.8,0.1,3.2,0.0,2.3,13800.0
9658,455.0,90.0,45.0,85.0,170.0,65.0,90.0,0.0,0.0,2.5,20.0,40.0,44.1,11.7,2.4,5.1,0.0,4.6,19200.0
9659,220.0,30.0,15.0,50.0,70.0,50.0,90.0,10.0,,2.1,25.0,83.0,50.3,8.5,7.3,11.9,0.6,10.1,16200.0
9661,1240.0,180.0,150.0,240.0,425.0,240.0,100.0,0.0,0.0,2.4,110.0,86.0,61.9,6.7,18.0,27.9,3.3,22.7,16800.0
9663,4565.0,720.0,470.0,1035.0,1360.0,980.0,90.0,0.0,0.0,2.2,520.0,336.0,39.0,18.3,18.4,28.1,3.0,23.1,19800.0
9665,7645.0,1080.0,900.0,1580.0,2310.0,1775.0,90.0,10.0,0.0,2.2,1110.0,651.0,60.0,6.0,18.8,29.5,3.1,24.4,22200.0
