pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
9148,25.0,0.5714285714285714,0.42857142857142855,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.38461538461538464,16.4,26.2,0.3,0.2307692307692308,0.0,1.8,6.1,12.0,100.0,,,2.8,,,,
9151,720.0,0.5077881619937694,0.4922118380062305,0.175,0.115625,0.21875,0.29375,15.2,25.3,0.2,0.196875,0.0,0.7,24.6,215.0,90.0,0.0,0.0,2.2,0.103125,,,10.534759329377986
9152,20.0,0.5714285714285714,0.42857142857142855,,,,,14.1,22.2,1.6,,0.0,0.1,25.6,37.0,100.0,,,2.0,0.14285714285714285,,,10.927735425915378
9153,105.0,0.5208333333333334,0.4791666666666667,0.1702127659574468,0.10638297872340426,0.2340425531914893,0.2978723404255319,13.3,23.7,0.6,0.1914893617021277,0.0,12.2,30.6,41.0,90.0,10.0,,2.3,0.08333333333333333,,,
9154,25.0,0.5,0.5,0.2,0.13333333333333333,0.13333333333333333,0.4,44.4,49.7,24.1,0.13333333333333333,7.8000000000000025,12.0,16.0,24.0,90.0,10.0,,3.0,0.06666666666666668,37.7,15.3,
9155,80.0,0.4883720930232558,0.5116279069767442,0.16279069767441862,0.16279069767441862,0.2325581395348837,0.3023255813953488,40.7,46.0,20.5,0.13953488372093026,2.9,5.2,16.0,28.0,100.0,,,2.6,0.04651162790697674,39.6,19.8,10.561007555452925
9156,40.0,0.5416666666666666,0.4583333333333333,0.17391304347826084,0.21739130434782608,0.13043478260869565,0.3043478260869565,35.2,40.5,14.9,0.17391304347826084,19.6,34.8,37.9,26.0,100.0,,,2.9,,41.7,19.0,10.72546760493904
9161,565.0,0.484,0.516,0.152,0.084,0.21600000000000005,0.276,36.8,42.1,16.5,0.272,7.5,33.6,38.0,313.0,90.0,0.0,0.0,2.2,0.04,35.5,20.8,10.578979797857352
9162,195.0,0.5056179775280899,0.4943820224719101,0.1797752808988764,0.11235955056179776,0.24719101123595505,0.2696629213483146,39.1,56.7,15.6,0.19101123595505606,7.399999999999999,10.5,11.0,119.0,90.0,10.0,,2.2,0.0449438202247191,42.7,16.4,10.628617778949124
9163,615.0,0.5,0.5,0.14112903225806453,0.1129032258064516,0.2258064516129032,0.3024193548387097,19.2,21.9,0.7,0.2177419354838709,0.8,1.4,7.9,282.0,90.0,10.0,0.0,2.0,0.04838709677419355,45.2,11.6,10.42821608147111
