Unnamed: 0,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
1011.0,1011.0,6435.0,51.88630490956072,48.11369509043928,7.911065149948293,11.323681489141677,33.86763185108583,29.317476732161328,1.2,1.2,4.6,17.580144777662877,404.6,2383.8,3332.1000000000013,6995.0,60.0,30.0,20.0,1.5,7.859358841778697,50.20000000000001,19.0,10.221941283654663
1012.0,1012.0,5960.0,55.020796197266776,44.979203802733224,5.291319857312723,13.852556480380496,51.96195005945303,20.39239001189061,0.8,0.8,4.0,8.50178359096314,696.6,2467.100000000001,3371.5,8458.0,50.0,40.0,20.0,1.4,4.98812351543943,56.1,14.6,10.122623082452801
1013.0,1013.0,12630.0,49.77736114366065,50.22263885633935,11.972820993439552,8.598875351452671,36.457357075913784,28.537956888472362,1.6999999999999997,1.7,2.8999999999999995,14.432989690721648,126.5,1486.1,2979.1000000000013,6378.0,50.0,20.0,20.0,1.7,11.64752753691118,53.6,17.1,10.210972252284089
1014.0,1014.0,890.0,53.5816618911175,46.41833810888252,17.478510028653297,6.303724928366762,51.00286532951289,20.91690544412607,1.6999999999999997,1.7,0.7,4.297994269340974,26.0,445.8,2174.2,2901.0,60.0,20.0,10.0,1.9,8.309455587392549,31.8,29.6,10.613983371430686
1015.0,1015.0,9820.0,50.99093046691301,49.00906953308699,8.599261001007726,10.480349344978164,35.60631508229761,28.75377897211958,1.3,1.3,3.1,16.560295599596913,357.1,2270.9,3348.5,11009.0,60.0,30.0,10.0,1.5,8.263352368155864,51.1,19.7,10.221941283654663
1016.0,1016.0,7285.0,51.763628034814474,48.236371965185526,7.2835547411818595,10.123683005038936,38.937242327072845,26.935409986257444,1.6999999999999997,1.7,3.1,16.720109940448925,492.0,2661.3,3428.5,11324.0,60.0,30.0,10.0,1.5,6.68804397617957,48.6,22.0,10.261161996807944
1017.0,1017.0,8055.000000000001,52.531645569620245,47.46835443037974,8.979430379746836,12.539556962025316,40.30854430379747,24.564873417721518,2.5,2.5,3.3,13.60759493670886,331.8,2664.2,3432.7,9364.0,60.0,30.0,10.0,1.6,4.311708860759493,41.7,27.199999999999996,10.3797217315325
1018.0,1018.0,12500.0,51.12332695984704,48.87667304015297,10.133843212237094,12.380497131931165,34.48852772466539,28.27437858508604,1.6999999999999997,2.3,4.0,14.722753346080305,85.19999999999997,1769.7999999999997,3114.5,6899.000000000001,60.0,20.0,20.0,1.6,11.11376673040153,50.20000000000001,19.3,10.22557105170524
1019.0,1019.0,9590.0,50.35704839989421,49.6429516001058,14.833421470121632,10.338445267054468,30.936012691697517,34.531993654151236,2.2,3.2,3.7,9.360126916975144,20.8,447.00000000000006,2269.7000000000007,4304.0,60.0,20.0,20.0,2.0,8.09095716552089,31.7,30.9,10.623763400484325
1021.0,1021.0,3855.0,51.26582278481011,48.73417721518987,14.767932489451475,11.39240506329114,35.37271448663853,26.51195499296765,5.0,5.0,3.2,11.954992967651195,27.6,100.8,793.5,2793.0,40.0,20.0,50.0,1.8000000000000003,17.721518987341767,63.9,7.199999999999999,10.077440859659568
1022.0,1022.0,1395.0,50.56,49.44,23.52,8.32,39.36,22.24,5.5,5.5,2.3,6.5600000000000005,9.7,85.3,588.0,2419.0,50.0,20.0,30.0,2.2,7.680000000000001,40.0,23.8,10.46310334047155
1023.0,1023.0,2320.0,47.165775401069524,52.834224598930476,16.880341880341877,8.76068376068376,21.794871794871803,31.196581196581203,5.9,6.1,1.8,21.367521367521366,11.1,76.2,160.1,2553.0,80.0,10.0,10.0,2.0,11.016042780748663,53.2,16.2,10.236381967809457
1024.0,1024.0,5885.0,48.919226393629124,51.080773606370876,21.57755024649223,13.42434584755404,30.716723549488048,22.56351915054987,6.5,7.0,1.5,11.717861205915813,10.2,47.40000000000001,128.4,2593.0,30.0,10.0,60.0,2.2,12.097080015168753,53.5,9.6,10.236381967809457
