pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
1619.0,6804.999999999999,0.5135929463629684,0.4864070536370316,0.16311535635562086,0.109478324761205,0.20867009551800147,0.30933137398971344,0.20940484937545922,2.1,7.3,14.3,372.0,90.0,10.0,0.0,2.3,535.0,36.8,21.1,10.46310334047155
1621.0,5560.0,0.4766187050359712,0.5233812949640287,0.08633093525179858,0.10701438848920863,0.25,0.2868705035971223,0.2697841726618705,100.3,130.4,151.5,1971.0000000000002,80.0,10.0,10.0,1.7,450.0,44.6,18.7,10.534338475632323
1622.0,7680.0,0.4928385416666667,0.5071614583333334,0.17057291666666666,0.11783854166666666,0.2552083333333333,0.271484375,0.18489583333333331,8.1,107.1,140.0,1033.0,60.0,10.0,30.0,2.2,1060.0,48.3,10.2,10.499573020252942
1623.0,2560.0,0.4765625,0.5234375,0.140625,0.115234375,0.203125,0.3125,0.228515625,35.9,135.4,152.1,1783.0,90.0,10.0,10.0,2.1,235.0,42.0,19.5,10.709963418403076
1624.0,5495.0,0.4931756141947225,0.5068243858052776,0.15741583257506825,0.11010009099181073,0.23111919927206553,0.27297543221110104,0.22838944494995447,20.700000000000006,137.60000000000002,153.4,2217.0,80.0,10.0,20.0,2.1,660.0,45.3,16.6,10.581521095286023
1625.0,9615.0,0.4789391575663027,0.5210608424336973,0.1435257410296412,0.10192407696307851,0.20124804992199688,0.2636505460218408,0.2896515860634425,3.8,107.9,156.5,1790.0000000000002,80.0,10.0,10.0,2.1,795.0,39.2,17.2,10.609057253094631
1627.0,15.0,0.5228636171137939,0.477136382886206,0.10597158586558819,0.0905994718991257,0.16553548251738792,0.35721209225127526,0.280681367466623,0.4,45.0,139.5,508.0,90.0,9.0,0.3333333333333333,1.9,39.666666666666664,37.56666666666666,20.716666666666665,10.616437360392252
1628.0,20870.0,0.4990416866315285,0.5009583133684715,0.17057977958792525,0.1456636320076665,0.24053665548634406,0.31792045999041685,0.12529947292764734,2.9,36.8,146.20000000000005,1886.0,70.0,10.0,20.0,2.3,2225.0,38.8,19.9,10.499573020252942
1631.0,440.0,0.5280898876404494,0.4719101123595506,0.10112359550561797,0.1348314606741573,0.1348314606741573,0.4157303370786517,0.21348314606741567,0.8,4.0,12.4,45.0,90.0,10.0,0.0,2.4,20.0,26.4,34.1,10.475620451139186
1633.0,3515.0,0.5078236130867709,0.492176386913229,0.15242165242165245,0.14245014245014245,0.1794871794871795,0.3205128205128205,0.20512820512820512,2.0,9.5,14.8,595.0,90.0,10.0,0.0,2.4,215.0,30.0,24.899999999999995,10.79343430907068
1634.0,435.0,0.4712643678160919,0.5287356321839081,0.07954545454545454,0.10227272727272728,0.15909090909090912,0.3636363636363637,0.2954545454545455,0.8,3.3,105.9,85.0,90.0,10.0,0.0,2.0,35.0,33.0,19.6,10.67590791399058
1636.0,1270.0,0.5118110236220472,0.4881889763779528,0.14566929133858267,0.13385826771653545,0.21653543307086615,0.2992125984251969,0.20472440944881887,0.9,1.2000000000000002,6.999999999999999,172.0,90.0,10.0,0.0,2.3,70.0,33.3,26.4,10.541837027550693
1641.0,920.0,0.5163043478260869,0.48369565217391297,0.14130434782608695,0.11956521739130435,0.22282608695652173,0.2934782608695653,0.22282608695652173,1.6999999999999997,5.999999999999998,13.5,157.0,90.0,10.0,0.0,2.3,60.0,40.0,23.5,10.666627104916108
1642.0,45.0,0.5555555555555556,0.4444444444444444,0.12892142371514717,0.11660973631729413,0.19264795334564538,0.36723847782488034,0.19458240879703306,1.8,2.7,11.4,139.0,90.0,7.999999999999998,1.0,2.3,31.33333333333333,32.63333333333333,23.0,10.596634733096073
1643.0,470.0,0.5212765957446809,0.4787234042553192,0.11702127659574468,0.1595744680851064,0.1702127659574468,0.425531914893617,0.12765957446808512,1.0,3.0,13.1,107.0,100.0,0.0,0.0,2.5,40.0,21.4,37.6,10.776870783399007
1645.0,2850.0,0.500875656742557,0.4991243432574431,0.1631578947368421,0.13508771929824562,0.19473684210526315,0.2929824561403509,0.21403508771929824,1.6999999999999997,3.2,12.4,279.0,90.0,0.0,0.0,2.4,145.0,27.2,28.4,10.666627104916108
1646.0,65.0,0.5384615384615384,0.4615384615384616,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.4615384615384616,0.2307692307692308,0.7,3.0,8.9,109.00000000000001,90.0,10.0,1.3333333333333333,2.3,44.33333333333332,33.49999999999999,23.77,10.59913161329466
1647.0,2580.0,0.5077519379844961,0.4922480620155039,0.14893617021276595,0.13152804642166346,0.16827852998065762,0.3094777562862669,0.24177949709864605,0.6,7.3,86.4,218.00000000000003,90.0,10.0,0.0,2.5,120.0,25.9,29.899999999999995,10.55581273857582
1648.0,3415.0000000000005,0.5021961932650073,0.4978038067349927,0.2137628111273792,0.11127379209370422,0.28989751098096633,0.2342606149341142,0.15080527086383602,4.3,8.8,13.900000000000002,637.0,90.0,0.0,0.0,2.5,170.0,33.7,23.1,10.557020738704367
1652.0,530.0,0.4953271028037383,0.5046728971962616,0.16822429906542055,0.11214953271028036,0.20560747663551399,0.3271028037383177,0.18691588785046728,0.0,0.3,6.800000000000002,48.0,90.0,0.0,0.0,2.6,25.0,21.8,31.7,10.678214720088496
1654.0,720.0,0.5138888888888888,0.4861111111111111,0.14583333333333334,0.11805555555555555,0.18055555555555558,0.3194444444444444,0.23611111111111108,0.6000000000000001,3.7,12.9,116.00000000000001,90.0,10.0,0.0,2.4,45.0,30.3,29.6,10.431170293368544
1655.0,955.0,0.5130890052356021,0.4869109947643979,0.16842105263157894,0.1263157894736842,0.23157894736842105,0.2789473684210526,0.19473684210526315,0.0,1.3,12.3,131.0,90.0,10.0,0.0,2.5,65.0,29.2,22.3,10.560113317662116
1657.0,2080.0,0.4963855421686747,0.5036144578313253,0.14698795180722893,0.09397590361445783,0.20240963855421687,0.2987951807228916,0.25783132530120484,1.0,2.0,4.7,304.0,90.0,10.0,0.0,2.2,125.0,32.5,22.5,10.413312675968537
