pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
5845.0,4095.0,2075.0,2015.0,535.0,490.0,725.0,1285.0,1055.0,90.0,0.0,0.0,1755.0,530.0,630.0,95.0,495.0,2.3,255.0,451.0,33.8,20.7,1.0,1.1,2.0,6.1,0.7,0.8,1.9,3.1,1.9,1.0,3.9,25.1,0.6,1.7,5.5,13.1,45200.0
5846.0,715.0,380.0,335.0,110.0,90.0,140.0,235.0,140.0,90.0,0.0,0.0,275.0,50.0,115.0,10.0,100.0,2.6,40.0,201.0,29.1,25.1,4.7,0.0,0.0,1.2,4.1,0.0,0.1,2.3,3.3,1.7,3.2,21.2,0.9,2.0,3.0,6.7,38500.0
5851.0,2130.0,1055.0,1070.0,260.0,250.0,405.0,740.0,475.0,90.0,10.0,0.0,885.0,225.0,325.0,55.0,275.0,2.4,170.0,210.0,27.2,21.3,0.5,2.8,4.0,8.3,0.7,0.9,1.1,6.2,3.0,2.3,10.0,25.7,0.6,1.0,3.9,13.7,32200.0
5853.0,2010.0,1015.0,995.0,275.0,225.0,380.0,725.0,405.0,80.0,20.0,0.0,865.0,240.0,305.0,50.0,270.0,2.3,135.0,168.0,24.7,28.7,2.7,0.0,2.0,6.8,2.5,0.0,1.1,4.2,5.3,0.0,8.9,24.5,0.3,2.0,3.1,5.1,31200.0
5854.0,5335.0,2660.0,2675.0,720.0,560.0,1030.0,1665.0,1365.0,80.0,20.0,0.0,2350.0,705.0,865.0,145.0,630.0,2.2,460.0,510.0,34.0,20.0,0.5,0.9,4.2,7.9,2.3,0.0,1.1,6.9,2.8,2.9,9.6,26.9,0.7,1.2,3.2,11.2,31100.0
5855.0,2485.0,1250.0,1235.0,350.0,280.0,450.0,810.0,590.0,90.0,10.0,0.0,1045.0,285.0,365.0,50.0,340.0,2.4,175.0,181.0,28.2,20.8,0.6,0.9,3.3,7.1,0.7,0.9,2.6,5.1,0.6,2.0,13.9,33.3,0.7,0.9,2.6,7.5,39200.0
5856.0,1180.0,590.0,590.0,150.0,150.0,250.0,400.0,230.0,90.0,10.0,0.0,475.0,100.0,180.0,30.0,155.0,2.5,80.0,82.0,30.7,17.0,0.4,2.0,3.0,9.3,0.4,1.0,4.0,6.6,0.5,3.0,13.0,32.1,0.4,1.0,2.0,5.1,38500.0
5861.0,1890.0,965.0,920.0,270.0,210.0,370.0,590.0,445.0,90.0,10.0,0.0,800.0,205.0,305.0,25.0,255.0,2.4,95.0,233.0,27.8,25.0,2.0,0.0,2.3,7.6,0.5,1.7,3.7,8.5,2.2,3.2,12.9,32.8,2.1,0.0,1.2,6.2,37600.0
5862.0,410.0,200.0,210.0,45.0,45.0,55.0,140.0,120.0,90.0,10.0,0.0,180.0,50.0,75.0,5.0,50.0,2.3,25.0,59.0,32.6,20.1,0.6,1.0,2.1,7.6,1.2,0.2,4.6,13.7,1.4,6.4,11.7,31.7,1.5,0.1,3.5,10.3,35900.0
5863.0,1060.0,555.0,505.0,150.0,125.0,210.0,335.0,240.0,90.0,10.0,0.0,460.0,120.0,175.0,25.0,135.0,2.3,60.0,165.0,32.9,25.1,0.5,0.9,5.5,9.7,0.5,1.4,9.1,15.4,0.6,6.7,12.1,32.5,1.2,0.7,8.6,10.0,34400.0
5864.0,1880.0,985.0,895.0,295.0,210.0,400.0,550.0,420.0,90.0,10.0,0.0,780.0,200.0,300.0,40.0,245.0,2.4,115.0,217.0,57.6,10.9,0.2,36.1,58.0,74.9,0.2,46.8,83.6,103.5,0.5,12.2,17.3,32.5,0.2,47.4,73.5,91.0,42300.0
5865.0,1250.0,640.0,610.0,225.0,115.0,320.0,340.0,245.0,90.0,10.0,0.0,505.0,135.0,180.0,25.0,160.0,2.4,85.0,171.0,46.7,13.1,0.5,5.3,56.8,79.4,0.5,9.0,78.6,106.9,1.1,12.3,17.3,32.4,0.7,8.6,74.0,91.6,36100.0
5866.0,1270.0,650.0,620.0,180.0,170.0,245.0,440.0,235.0,90.0,10.0,0.0,515.0,125.0,195.0,20.0,170.0,2.5,80.0,137.0,38.6,19.9,0.6,4.8,52.3,68.0,0.6,5.2,73.2,97.0,1.1,10.8,16.1,32.1,0.7,5.0,65.2,84.9,42600.0
5871.0,1055.0,525.0,525.0,125.0,130.0,170.0,400.0,230.0,90.0,10.0,0.0,455.0,120.0,190.0,20.0,125.0,2.3,70.0,162.0,58.4,8.7,0.7,4.1,48.7,64.7,0.4,7.9,68.5,93.0,0.9,11.1,15.8,32.0,0.8,4.2,62.2,81.0,45200.0
5872.0,775.0,375.0,400.0,110.0,100.0,150.0,230.0,185.0,90.0,10.0,0.0,325.0,85.0,115.0,20.0,105.0,2.4,30.0,159.0,53.3,14.4,0.6,2.6,43.9,68.8,0.6,2.6,54.9,96.9,0.7,10.4,16.5,31.4,0.7,1.6,54.4,85.4,42800.0
5911.0,4955.0,2545.0,2405.0,420.0,735.0,1635.0,1220.0,945.0,70.0,20.0,10.0,3045.0,1860.0,730.0,150.0,285.0,1.6,490.0,2890.0,24.0,30.2,0.9,0.7,25.4,55.6,0.8,1.5,37.3,78.3,2.2,10.0,14.0,31.9,1.4,0.1,30.9,71.3,40700.0
5912.0,10225.0,5060.0,5165.0,1605.0,1380.0,2675.0,2775.0,1785.0,60.0,20.0,20.0,4800.0,2010.0,1210.0,365.0,1180.0,2.1,1050.0,2196.0,56.7,8.3,0.3,6.2,52.2,72.6,0.3,12.9,73.2,101.2,1.6,10.6,18.0,33.2,0.3,9.7,65.2,87.5,39800.0
